n_fam,nt_norm,sample_id
1,0.0662876471636138,0
3,0.33974516426763035,0
8,0.6192526857690537,0
18,0.9812235296262639,0
38,1.3424478960005108,0
1,0.6677678618029481,1
3,1.1120235098768467,1
8,1.3965310505614814,1
18,1.496408202778369,1
38,1.5241387362388952,1
1,0.6224335915097226,2
3,1.0374734480909815,2
8,1.3711592249638187,2
18,1.5798152787761415,2
38,1.7896618579922918,2
1,0.9650964598924556,3
3,1.4017152090107234,3
8,1.6894257196177938,3
18,1.76192135840969,3
38,1.7756659097652128,3
1,0.5561130800110163,4
3,0.8446874839534089,4
8,0.9393895251430782,4
18,0.8783625365487218,4
38,0.7886472565813458,4
1,0.26832305913251764,5
3,0.6491658220342522,5
8,1.0772418637441061,5
18,1.519231668690448,5
38,2.184695241432493,5
1,-0.018192129452755612,6
3,0.14040285057891788,6
8,0.2210126527474756,6
18,0.2922302487689252,6
38,0.3487966027642633,6
1,0.3309442068876236,7
3,0.6443891611461736,7
8,0.876280247494599,7
18,0.9756323316802475,7
38,0.9867420351797367,7
1,0.3661430890627444,8
3,0.7037509454648143,8
8,1.0079799431061793,8
18,1.2610064923428455,8
38,1.3803440622313543,8
1,0.1343767882742508,9
3,0.44222445996565973,9
8,0.8178454723270749,9
18,1.1162381909813772,9
38,1.2019505680822553,9
1,0.7331348234431223,10
3,1.287931140458388,10
8,1.7906267537921272,10
18,2.0514454412309755,10
38,2.1866970199765965,10
1,0.1085056909402562,11
3,0.3201170254245227,11
8,0.4237046360707357,11
18,0.49265131916365834,11
38,0.5914092813602758,11
1,0.3881210991456765,12
3,0.6472290306866113,12
8,0.8127587230694915,12
18,0.9042657453410807,12
38,1.0505035246334389,12
1,0.12150266516175101,13
3,0.4758849645792824,13
8,0.8241649539499689,13
18,1.1626144344889353,13
38,1.578463945013949,13
1,0.16642504291787086,14
3,0.31731234427070154,14
8,0.3300546710109904,14
18,0.21443980245865601,14
38,0.02235725404081146,14
1,0.7666861666456612,15
3,1.567600631725043,15
8,2.6727538521844822,15
18,3.8384773690424154,15
38,4.6447114110669245,15
1,0.1302658693454064,16
3,0.30163836838118696,16
8,0.33650133075972133,16
18,0.33008453689821393,16
38,0.35074565768667143,16
1,0.19010280131876156,17
3,0.40033461925234537,17
8,0.47618310347351,17
18,0.47896838997121893,17
38,0.4900326509642401,17
1,-0.0014618790536502502,18
3,0.1666595819673624,18
8,0.21087254388165055,18
18,0.19615616979430217,18
38,0.23175824652913857,18
1,0.5170738527825463,19
3,1.1327410311502164,19
8,1.844296582414635,19
18,2.275817243519925,19
38,2.371653772603379,19
1,-0.06519381268447777,20
3,0.11962920446991854,20
8,0.18382105599713894,20
18,0.18716517452661807,20
38,0.1945977502160383,20
1,0.32127739032168634,21
3,0.6900379470585274,21
8,0.9510572250480862,21
18,1.0588074382463903,21
38,1.0856943673328687,21
1,0.18835831707918338,22
3,0.3819459428294336,22
8,0.460489767456727,22
18,0.47613803321258863,22
38,0.49655689363605937,22
1,0.1377261521502411,23
3,0.3247105178927647,23
8,0.41679280702960986,23
18,0.4781676729569093,23
38,0.5557652104499149,23
1,0.36996506995281164,24
3,0.5627757718831599,24
8,0.5466347358617747,24
18,0.4604436240652674,24
38,0.41286282467628865,24
1,-0.12355462148864005,25
3,0.07350041811174002,25
8,0.16458074564666392,25
18,0.18309639600312355,25
38,0.17975650377757857,25
1,0.3726811638744425,26
3,0.7192904757138834,26
8,0.896031373926389,26
18,0.886492475778438,26
38,0.8486845467680089,26
1,0.899568112486516,27
3,1.4340331299360014,27
8,1.8444770860342,27
18,1.9699880801247402,27
38,1.9736616846657193,27
1,-0.12150007861058887,28
3,0.12160149791250596,28
8,0.2925909036722705,28
18,0.36172276715068774,28
38,0.34917591496707145,28
1,0.6013837519428527,29
3,0.9051450389105735,29
8,1.1562563199413274,29
18,1.3047745203484282,29
38,1.352982674545556,29
1,0.1918419823384072,30
3,0.38769402313459667,30
8,0.46906495981102125,30
18,0.4703912421294767,30
38,0.44294428609902603,30
1,0.48995268781333046,31
3,0.7792391118841975,31
8,0.8950518417291728,31
18,0.8956686699860126,31
38,0.9178778810126385,31
1,0.9409042196845872,32
3,1.5807650679849519,32
8,2.479352505773848,32
18,3.5788882538366114,32
38,4.300285108789643,32
1,0.2963532908164086,33
3,0.548532015373917,33
8,0.7065529516214502,33
18,0.7540145193355259,33
38,0.7635414304731671,33
1,0.7170483133273553,34
3,1.118812926131946,34
8,1.42176049587402,34
18,1.576634286141338,34
38,1.6842048002576118,34
1,0.5686372757083786,35
3,0.9161607865679624,35
8,1.1392252844791262,35
18,1.181187435652417,35
38,1.1394818580142962,35
1,0.807682172588768,36
3,1.3472640109333889,36
8,2.017546777694875,36
18,2.396498616371381,36
38,2.2980870465098784,36
1,0.659687082933476,37
3,1.0597903048492556,37
8,1.480481761656705,37
18,1.9184578391560534,37
38,2.2817827968580877,37
1,0.20810613020256463,38
3,0.4739723184709863,38
8,0.6634276871651545,38
18,0.7041745403556026,38
38,0.6436894007453964,38
1,-0.10297826188162684,39
3,-0.03985684848088278,39
8,-0.1269221059400618,39
18,-0.2283820168744901,39
38,-0.27468031905170687,39
1,-0.2448171322274484,40
3,-0.11306475953703066,40
8,-0.09622484684855559,40
18,-0.19314027605874906,40
38,-0.3592611886184267,40
1,-0.03893466800635137,41
3,0.15703811432070092,41
8,0.17046161783763902,41
18,0.1189277799714814,41
38,0.08903443722043125,41
1,0.586240249381941,42
3,0.9182792820829575,42
8,1.1538046265178692,42
18,1.277419008369794,42
38,1.4311822140024677,42
1,0.5512146987759334,43
3,0.9659056504128385,43
8,1.2146551093111746,43
18,1.1819004704536953,43
38,1.1359328082334954,43
1,0.7031527696773834,44
3,1.144577847895548,44
8,1.491507019080978,44
18,1.6055420831486786,44
38,1.6387282467450428,44
1,0.30526790662293557,45
3,0.6744200113778249,45
8,0.9889874388522035,45
18,1.2374095801390397,45
38,1.3896722468727776,45
1,-0.18906733331442283,46
3,-0.039084665834303145,46
8,0.005495466490763601,46
18,-0.004674803639816538,46
38,-0.011401972391879234,46
1,0.14124055392761603,47
3,0.3451231399318164,47
8,0.3736431046537796,47
18,0.34276632899403436,47
38,0.3331388226828882,47
1,0.1297494791656737,48
3,0.3644472794307063,48
8,0.4998273378267182,48
18,0.5926143670780271,48
38,0.6729778914290823,48
1,0.831254978269985,49
3,1.337872228740332,49
8,1.7136520030940592,49
18,1.8370603392250482,49
38,1.8575845717635804,49
