exp_id,id_in_exp,yres,ypred,w
0,0,1.1649397810083197e-05,0.0114868785825753,0.2
0,1,3.05742005966891e-06,0.02215145201390728,0.2
0,2,2.5617253384109253e-05,0.03023865103118652,0.2
0,3,3.3870899976209075e-05,0.034980128869450025,0.2
0,4,2.203617063990292e-06,0.03781554149132073,0.2
1,0,5.131257904193964e-09,-7.163279908110504e-05,0.14285714285714285
1,1,1.4455859405319183e-05,0.019997913808799284,0.14285714285714285
1,2,6.86127250593468e-06,0.03161940308198923,0.14285714285714285
1,3,1.9050441933027631e-06,0.03711976661636419,0.14285714285714285
1,4,6.887497136510118e-06,0.03957559585114828,0.14285714285714285
1,5,3.349607899528929e-07,0.041121242028173355,0.14285714285714285
1,6,4.34823726664934e-07,0.042659411651902616,0.14285714285714285
2,0,2.9197013628265646e-05,0.032703426100935004,0.25
2,1,3.6865306587618195e-05,0.02727168070534166,0.25
2,2,1.99244374609704e-06,0.017488460504946093,0.25
2,3,3.1069845790663634e-07,0.01535740331709332,0.25
3,0,0.00014569070386645446,0.06422975957710642,0.25
3,1,1.472180759436259e-05,0.07243690077984336,0.25
3,2,1.3806280807145781e-06,0.07667500131094164,0.25
3,3,4.982014001051246e-05,0.07875833833210852,0.25
