outer_resampling_id,train_mse
0,4.708463329360354e-06
1,4.820909585210045e-06
2,4.547970730804842e-06
3,4.434442018977103e-06
4,4.830556073994205e-06
5,4.675243266468926e-06
6,4.543578883584552e-06
7,4.598713736137167e-06
8,4.638527136303374e-06
9,4.58704258321223e-06
10,4.648404445155045e-06
11,4.645371047029754e-06
12,4.492121721270319e-06
13,4.354407841917626e-06
14,4.863489658006862e-06
15,4.938339757536517e-06
16,2.113843078422427e-06
17,5.3135864842274545e-06
18,5.6470881009517696e-06
19,4.476964261836208e-06
