exp_id,id_in_exp,yres,ypred,w
0,0,1.080242803350627e-05,0.011613295262195542,0.05
0,1,2.2643157531837074e-06,0.022395235648620122,0.05
0,2,2.235930982180062e-05,0.03057143681211717,0.05
0,3,2.9538180488567946e-05,0.03536509609205757,0.05
0,4,1.1412364440859343e-06,0.03823171331371868,0.05
1,0,5.244821571792307e-09,-7.24211403651745e-05,0.05
1,1,1.2830744888514881e-05,0.02021799708423976,0.05
1,2,8.805370590794298e-06,0.03196738446966252,0.05
1,3,9.442373886320372e-07,0.037528281219368465,0.05
1,4,4.791118516652737e-06,0.040011137620440076,0.05
1,5,1.592792529012107e-08,0.04157379411546952,0.05
1,6,1.2743966405735685e-06,0.04312889177540346,0.05
2,0,3.321605913724226e-05,0.03306333749985564,0.05
2,1,4.06000143252312e-05,0.02757181405293902,0.05
2,2,1.486140284950006e-06,0.01768092646450265,0.05
2,3,5.27680681556589e-07,0.015526416327980443,0.05
3,0,0.0001480367354715388,0.06413296521450117,0.05
3,1,1.4672182988477587e-05,0.0724304285645966,0.05
3,2,1.4766398621897897e-06,0.07671517071318798,0.05
3,3,5.071484369053062e-05,0.07882143550771406,0.05
