resampling_id,coef,shift
0,0.0006863143694067417,0.03354541860315814
1,0.0006701879598669386,0.033552896858449394
2,0.0014566106611624968,0.03318821123437398
3,0.0018346188813243638,0.03301291852798563
4,0.0007602166039485728,0.03351114812434303
5,0.000981752751933171,0.03340841577919337
6,0.0013172513531794078,0.03325283594080579
7,0.0005940873008886266,0.033588186806547675
8,0.0012158608340462687,0.03329985348580351
9,0.0014695373812637844,0.03318221676221594
10,0.0010865133134873584,0.03335983545374507
11,0.0008338703756777532,0.03347699286450085
12,0.00012757306785527583,0.03380452216148282
13,0.00027363493324407406,0.03373678929664413
14,0.0020236607486247005,0.032925254665740526
15,0.0017198215387013854,0.03306615318215784
16,-0.003971949493631138,0.03382130815224718
17,0.002722912808770281,0.033194554237641304
18,0.0017495012060573245,0.033231728158387264
19,0.0032714803497544825,0.03343958057852699
