Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,coef,shift,train_rss,train_mse,train_nmse
0,4,2,8,0.0,0.1,2.6666666666666665,0,,0,0.0,-0.21667822369942757,0.9870437393127384,0.00047316015057402615,2.3658007528701308e-05,0.05402478288206713
1,4,2,8,0.0,0.01,2.6666666666666665,1,,1,1.0,-0.04317229313125472,0.23390420183891297,0.0005606672884149314,2.803336442074657e-05,0.0640162289426677
2,4,2,8,0.0,0.001,2.6666666666666665,2,,2,2.0,0.019628351388790235,0.020405145399616024,0.0007137039515522791,3.568519757761396e-05,0.08148974713510423
3,4,2,8,0.0,0.0001,2.6666666666666665,3,,3,3.0,0.037872181304108465,-0.011708239344634986,0.0004431871251872202,2.215935625936101e-05,0.050602503582180186
4,4,2,8,0.0,1e-05,2.6666666666666665,4,,4,4.0,0.03665258657249687,-0.006374690098080227,0.00041063658349947224,2.0531829174973613e-05,0.0468859269743639
5,4,2,8,0.0,1e-06,2.6666666666666665,5,,5,5.0,0.03645154691062874,-0.005660995637742933,0.0004076758441426652,2.038379220713326e-05,0.046547873778785526
6,4,2,8,0.01,0.1,2.6666666666666665,6,,6,6.0,0.16278680185758543,-0.618786132628327,0.0007592605032301695,3.796302516150848e-05,0.08669133228606814
7,4,2,8,0.01,0.01,2.6666666666666665,7,,7,7.0,-0.01065595595289065,0.11448079854207587,0.0007602635325348949,3.801317662674475e-05,0.08680585680878292
8,4,2,8,0.01,0.001,2.6666666666666665,8,,0,8.0,0.045602873671670534,-0.052086000371865754,0.0005388732676894361,2.6943663384471805e-05,0.061527817278258214
9,4,2,8,0.01,0.0001,2.6666666666666665,9,,1,9.0,0.04196916939508112,-0.01972329600365471,0.0003323049855467947,1.6615249277339733e-05,0.037942131586978026
10,4,2,8,0.01,1e-05,2.6666666666666665,10,,2,10.0,0.039281165746416366,-0.0106358533511495,0.0003194051066016694,1.597025533008347e-05,0.03646924094229913
11,4,2,8,0.01,1e-06,2.6666666666666665,11,,3,11.0,0.03893675749435387,-0.009577607384084162,0.00031896804575815365,1.594840228790768e-05,0.036419337929231466
12,4,2,8,0.1,0.1,2.6666666666666665,12,,4,12.0,2.736253271911726,-11.657086226555963,0.0006645367995226453,3.3226839976132266e-05,0.0758759085434391
13,4,2,8,0.1,0.01,2.6666666666666665,13,,5,13.0,0.9557923425899943,-3.963878019408042,8.641553469798949e-05,4.320776734899474e-06,0.009866808297429135
14,4,2,8,0.1,0.001,2.6666666666666665,14,,6,14.0,0.062181303717950956,-0.1407774322834005,4.432007805343901e-05,2.216003902671951e-06,0.005060406273115996
15,4,2,8,0.1,0.0001,2.6666666666666665,15,,7,15.0,0.031136919833239584,0.0037494087780423624,2.0657025420972014e-05,1.0328512710486007e-06,0.0023585910859218835
16,4,2,8,0.1,1e-05,2.6666666666666665,16,,0,16.0,0.02944348090509314,0.015126849163201315,2.5788839398956475e-05,1.2894419699478237e-06,0.0029445346308620496
17,4,2,8,0.1,1e-06,2.6666666666666665,17,,1,17.0,0.030089554728151606,0.014734374347096325,3.3832048293045965e-05,1.6916024146522983e-06,0.0038628972902092747
18,4,2,8,0.2,0.1,2.6666666666666665,18,,2,18.0,-0.34146041674198224,1.5380764479253166,0.0007602633105176725,3.8013165525883626e-05,0.08680583145915821
19,4,2,8,0.2,0.01,2.6666666666666665,19,,3,19.0,2.042077883181563,-8.62813827782784,0.00016447749969376586,8.223874984688293e-06,0.01877981736027613
20,4,2,8,0.2,0.001,2.6666666666666665,20,,4,20.0,0.0952800562278464,-0.2949034990685114,8.196539750983613e-05,4.098269875491806e-06,0.00935869768182947
21,4,2,8,0.2,0.0001,2.6666666666666665,21,,5,21.0,0.02827856150274296,0.005130519193362857,2.5899954691283412e-05,1.2949977345641707e-06,0.0029572216239141013
22,4,2,8,0.2,1e-05,2.6666666666666665,22,,6,22.0,0.02430271957103898,0.02544874878991986,1.9242356040353422e-05,9.62117802017671e-07,0.00219706605883516
23,4,2,8,0.2,1e-06,2.6666666666666665,23,,7,23.0,0.024123865209076882,0.02717316474663848,1.7385157068150777e-05,8.692578534075389e-07,0.0019850136044593583
24,4,2,8,0.5,0.1,2.6666666666666665,24,,0,24.0,-2.427779073129245,10.494610296546558,0.0006917998596351418,3.458999298175709e-05,0.07898876769163979
25,4,2,8,0.5,0.01,2.6666666666666665,25,,1,25.0,2.3976432514151558,-10.194295040433708,0.0006757786157000752,3.3788930785003755e-05,0.0771594838349106
26,4,2,8,0.5,0.001,2.6666666666666665,26,,2,26.0,0.6030649301228481,-2.4414572017825487,0.00014273271903850356,7.136635951925178e-06,0.016297027860159657
27,4,2,8,0.5,0.0001,2.6666666666666665,27,,3,27.0,0.03143555905523901,-0.0174137969676761,3.664531715320925e-05,1.8322658576604627e-06,0.004184112504920015
28,4,2,8,0.5,1e-05,2.6666666666666665,28,,4,28.0,0.02194816148081722,0.027805549004935978,2.638687588403483e-05,1.3193437942017415e-06,0.0030128176238882302
29,4,2,8,0.5,1e-06,2.6666666666666665,29,,5,29.0,0.020243042323500028,0.03406658320206299,2.4378413949800913e-05,1.2189206974900457e-06,0.0027834941701015024
30,4,2,8,0.8,0.1,2.6666666666666665,30,,6,30.0,-2.8479407092184648,12.299577913821661,0.0006626788642271627,3.3133943211358135e-05,0.07566377201667199
31,4,2,8,0.8,0.01,2.6666666666666665,31,,7,31.0,-2.225092096182079,9.612186278079285,0.0007049659265743419,3.52482963287171e-05,0.08049205131968437
