Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
51,4,4,8,0.01,0.0001,2.6666666666666665,51,,3,51.0,2.012168865982364e-05,1.586578409839743e-06,1.586578409839743e-06
52,4,4,8,0.01,1e-05,2.6666666666666665,52,,4,52.0,1.8166807804908165e-05,1.4024849152396791e-06,1.4024849152396791e-06
53,4,4,8,0.01,1e-06,2.6666666666666665,53,,5,53.0,1.8048369107375907e-05,1.3864793502349153e-06,1.3864793502349153e-06
54,4,4,8,0.1,0.1,2.6666666666666665,54,,6,54.0,3.4212319327098405e-05,2.365284054367837e-06,2.365284054367837e-06
55,4,4,8,0.1,0.01,2.6666666666666665,55,,7,55.0,7.957228855950863e-06,4.306077544070402e-07,4.306077544070402e-07
56,4,4,8,0.1,0.001,2.6666666666666665,56,,0,56.0,4.0525223119737295e-06,2.9340242483239704e-07,2.9340242483239704e-07
57,4,4,8,0.1,0.0001,2.6666666666666665,57,,1,57.0,1.528257330295455e-06,1.0203109275039767e-07,1.0203109275039767e-07
58,4,4,8,0.1,1e-05,2.6666666666666665,58,,2,58.0,1.656470572124301e-06,1.1331944454243448e-07,1.1331944454243448e-07
59,4,4,8,0.1,1e-06,2.6666666666666665,59,,3,59.0,2.102666704316812e-06,1.335901003293348e-07,1.335901003293348e-07
60,4,4,8,0.2,0.1,2.6666666666666665,60,,4,60.0,2.8268812507579702e-05,2.117396013217093e-06,2.117396013217093e-06
61,4,4,8,0.2,0.01,2.6666666666666665,61,,5,61.0,2.188750298660586e-05,1.164634269879169e-06,1.164634269879169e-06
62,4,4,8,0.2,0.001,2.6666666666666665,62,,6,62.0,4.959779424162901e-06,5.37341137879886e-07,5.37341137879886e-07
63,4,4,8,0.2,0.0001,2.6666666666666665,63,,7,63.0,1.820934823227691e-06,1.3946127774143029e-07,1.3946127774143029e-07
64,4,4,8,0.2,1e-05,2.6666666666666665,64,,0,64.0,1.2442480472588202e-06,1.0209446488662893e-07,1.0209446488662893e-07
65,4,4,8,0.2,1e-06,2.6666666666666665,65,,1,65.0,1.1360132058779314e-06,1.0003587884359091e-07,1.0003587884359091e-07
66,4,4,8,0.5,0.1,2.6666666666666665,66,,2,66.0,2.4692086308266578e-05,1.8727049980911983e-06,1.8727049980911983e-06
67,4,4,8,0.5,0.01,2.6666666666666665,67,,3,67.0,3.3894225771305545e-05,2.3728564160051127e-06,2.3728564160051127e-06
68,4,4,8,0.5,0.001,2.6666666666666665,68,,4,68.0,9.65618393834799e-06,7.320886759300179e-07,7.320886759300179e-07
69,4,4,8,0.5,0.0001,2.6666666666666665,69,,5,69.0,2.734981316758978e-06,2.971920164872184e-07,2.971920164872184e-07
70,4,4,8,0.5,1e-05,2.6666666666666665,70,,6,70.0,1.5683441762370517e-06,1.3620496394099997e-07,1.3620496394099997e-07
71,4,4,8,0.5,1e-06,2.6666666666666665,71,,7,71.0,1.3968433429855315e-06,1.1698372483613693e-07,1.1698372483613693e-07
72,4,4,8,0.8,0.1,2.6666666666666665,72,,0,72.0,2.390389803632572e-05,1.811165266134012e-06,1.811165266134012e-06
73,4,4,8,0.8,0.01,2.6666666666666665,73,,1,73.0,2.5003446301076155e-05,1.9012929631022095e-06,1.9012929631022095e-06
74,4,4,8,0.8,0.001,2.6666666666666665,74,,2,74.0,3.994673092521929e-05,1.9639214763949265e-06,1.9639214763949265e-06
75,4,4,8,0.8,0.0001,2.6666666666666665,75,,3,75.0,4.62563337145464e-06,5.14052207489224e-07,5.14052207489224e-07
76,4,4,8,0.8,1e-05,2.6666666666666665,76,,4,76.0,1.7874291386411246e-06,1.5574863244946455e-07,1.5574863244946455e-07
77,4,4,8,0.8,1e-06,2.6666666666666665,77,,5,77.0,1.5581299589979846e-06,1.2652983126590702e-07,1.2652983126590702e-07
78,4,4,8,0.9,0.1,2.6666666666666665,78,,6,78.0,2.3807957174061766e-05,1.803483147286804e-06,1.803483147286804e-06
79,4,4,8,0.9,0.01,2.6666666666666665,79,,7,79.0,2.3989006466353857e-05,1.8221572242661224e-06,1.8221572242661224e-06
80,4,4,8,0.9,0.001,2.6666666666666665,80,,0,80.0,3.021324428876976e-05,2.2595361491822636e-06,2.2595361491822636e-06
81,4,4,8,0.9,0.0001,2.6666666666666665,81,,1,81.0,5.402908568215301e-06,5.936393320810588e-07,5.936393320810588e-07
82,4,4,8,0.9,1e-05,2.6666666666666665,82,,2,82.0,1.8784613573550313e-06,1.6071466290657228e-07,1.6071466290657228e-07
83,4,4,8,0.9,1e-06,2.6666666666666665,83,,3,83.0,1.6232459311594673e-06,1.2826622744535033e-07,1.2826622744535033e-07
84,4,6,8,0.0,0.1,2.6666666666666665,84,,4,84.0,2.0631256337617466e-05,1.549881000010871e-06,1.549881000010871e-06
85,4,6,8,0.0,0.01,2.6666666666666665,85,,5,85.0,2.5818481849878946e-05,1.9302168476420637e-06,1.9302168476420637e-06
86,4,6,8,0.0,0.001,2.6666666666666665,86,,6,86.0,3.759232896372286e-05,2.1752043396360545e-06,2.1752043396360545e-06
87,4,6,8,0.0,0.0001,2.6666666666666665,87,,7,87.0,2.789597703346354e-05,2.2460904149254455e-06,2.2460904149254455e-06
88,4,6,8,0.0,1e-05,2.6666666666666665,88,,0,88.0,2.2479488889240603e-05,1.8186654281230726e-06,1.8186654281230726e-06
89,4,6,8,0.0,1e-06,2.6666666666666665,89,,1,89.0,2.197127623378105e-05,1.7654694468947745e-06,1.7654694468947745e-06
90,4,6,8,0.01,0.1,2.6666666666666665,90,,2,90.0,2.6050197577059656e-05,2.0099563091489957e-06,2.0099563091489957e-06
91,4,6,8,0.01,0.01,2.6666666666666665,91,,3,91.0,3.986268711774375e-05,2.1368502961605686e-06,2.1368502961605686e-06
92,4,6,8,0.01,0.001,2.6666666666666665,92,,4,92.0,3.902348603789657e-05,2.209279629982445e-06,2.209279629982445e-06
93,4,6,8,0.01,0.0001,2.6666666666666665,93,,5,93.0,2.151788150215729e-05,1.7036710346775188e-06,1.7036710346775188e-06
94,4,6,8,0.01,1e-05,2.6666666666666665,94,,6,94.0,1.8250442354632548e-05,1.4117165301407917e-06,1.4117165301407917e-06
95,4,6,8,0.01,1e-06,2.6666666666666665,95,,7,95.0,1.8043305836620362e-05,1.3859537258997916e-06,1.3859537258997916e-06
96,4,6,8,0.1,0.1,2.6666666666666665,96,,0,96.0,3.064899405220406e-05,2.2325689720187657e-06,2.2325689720187657e-06
97,4,6,8,0.1,0.01,2.6666666666666665,97,,1,97.0,1.3331119149450102e-05,6.503719998809758e-07,6.503719998809758e-07
98,4,6,8,0.1,0.001,2.6666666666666665,98,,2,98.0,4.369837690100553e-06,3.7926421372310023e-07,3.7926421372310023e-07
99,4,6,8,0.1,0.0001,2.6666666666666665,99,,3,99.0,1.7172936213555682e-06,1.0926793432075067e-07,1.0926793432075067e-07
100,4,6,8,0.1,1e-05,2.6666666666666665,100,,4,100.0,1.731766282030199e-06,1.0966056355621004e-07,1.0966056355621004e-07
101,4,6,8,0.1,1e-06,2.6666666666666665,101,,5,101.0,2.2266621196146335e-06,1.304436169503839e-07,1.304436169503839e-07
102,4,6,8,0.2,0.1,2.6666666666666665,102,,6,102.0,2.677299907797149e-05,2.005630245938048e-06,2.005630245938048e-06
103,4,6,8,0.2,0.01,2.6666666666666665,103,,7,103.0,3.532964397425538e-05,1.5584092590441999e-06,1.5584092590441999e-06
104,4,6,8,0.2,0.001,2.6666666666666665,104,,0,104.0,5.02028091798696e-06,5.072356125850027e-07,5.072356125850027e-07
105,4,6,8,0.2,0.0001,2.6666666666666665,105,,1,105.0,2.1207335133593815e-06,1.6514227497689668e-07,1.6514227497689668e-07
106,4,6,8,0.2,1e-05,2.6666666666666665,106,,2,106.0,1.3022714739174067e-06,1.0362848859718176e-07,1.0362848859718176e-07
107,4,6,8,0.2,1e-06,2.6666666666666665,107,,3,107.0,1.16796867317502e-06,1.0120998565718282e-07,1.0120998565718282e-07
108,4,6,8,0.5,0.1,2.6666666666666665,108,,4,108.0,2.4515027565957216e-05,1.8433455719660451e-06,1.8433455719660451e-06
109,4,6,8,0.5,0.01,2.6666666666666665,109,,5,109.0,3.0324824975010607e-05,2.229696651630303e-06,2.229696651630303e-06
110,4,6,8,0.5,0.001,2.6666666666666665,110,,6,110.0,1.4094680191474387e-05,9.501795582725795e-07,9.501795582725795e-07
111,4,6,8,0.5,0.0001,2.6666666666666665,111,,7,111.0,4.011066097908573e-06,4.291060963679989e-07,4.291060963679989e-07
112,4,6,8,0.5,1e-05,2.6666666666666665,112,,0,112.0,1.640325801042005e-06,1.489051328854588e-07,1.489051328854588e-07
113,4,6,8,0.5,1e-06,2.6666666666666665,113,,1,113.0,1.4079813462428266e-06,1.220819402408775e-07,1.220819402408775e-07
114,4,6,8,0.8,0.1,2.6666666666666665,114,,2,114.0,2.4007393124331576e-05,1.8036470834124574e-06,1.8036470834124574e-06
115,4,6,8,0.8,0.01,2.6666666666666665,115,,3,115.0,2.4692280717244704e-05,1.8606310710158234e-06,1.8606310710158234e-06
