resampling_id,shift,coef
0,-419.63896384887096,129.55650140877788
1,-409.7121459280286,126.49229587233162
2,-397.1381584809405,122.61096327835727
3,-391.071761028398,120.73839053565035
4,-392.7262330609096,121.24909219275224
5,-401.86583930458966,124.0703015948303
6,-409.8224440635713,126.52634264948472
7,-404.0869410175403,124.75591023820101
8,-393.60861814498367,121.52146640989423
9,-389.5275871314616,120.26173565571159
10,-390.0790778089646,120.43196954141195
11,-389.7481834024628,120.32982920999173
12,-405.9620093208938,125.33470544953387
13,-401.86581775261135,124.07029494217564
14,-401.865839304658,124.07030159485136
15,-401.86583930464315,124.07030159484678
16,-430.53341222621975,132.91649371987933
17,-406.0152330951501,125.35239585837617
18,-403.66430062526825,124.62599648705992
19,-404.95903003808354,125.02604652612881
