outer_resampling_id,resampling_id,gid,train_mse,test_mse
0,0,70,9.847300621387671e-07,8.413904044247242e-07
0,1,70,9.81061622350307e-07,2.1645835656891583e-06
0,2,70,9.857650120263496e-07,5.289530363363768e-07
0,3,70,9.32902636627396e-07,2.0162168809539563e-05
0,4,70,9.872163200021624e-07,6.733886463479517e-10
0,5,70,8.798340738781645e-07,3.557428133585882e-05
0,6,70,9.833215025218054e-07,1.333280784368679e-06
0,7,70,9.43207600085396e-07,1.554746876839153e-05
0,8,70,9.386771812370752e-07,1.7486263947471825e-05
0,9,70,9.724911912815465e-07,5.343048258099445e-06
0,10,70,9.824974273469775e-07,1.7254737422764428e-06
0,11,70,8.726125188495827e-07,4.013704095982748e-05
0,12,70,9.856512918831553e-07,5.24881500122838e-07
0,13,70,9.627181657811423e-07,8.200274609081203e-06
0,14,70,9.837608550979293e-07,1.1397347656788203e-06
0,15,70,4.614191714913273e-07,0.0002284710771073
0,16,70,9.374391367383848e-07,2.150639230100834e-05
0,17,70,9.851330504222524e-07,9.017013847910832e-07
0,18,70,7.802391712821039e-07,8.968476646774874e-05
1,0,70,9.847300621387671e-07,2.9122594871468265e-08
1,1,70,9.790629043575262e-07,2.028224262819733e-06
1,2,70,9.835971602125122e-07,4.459995268161217e-07
1,3,70,9.28630059745186e-07,2.093999524253269e-05
1,4,70,9.848164395853587e-07,6.752320066810447e-10
1,5,70,8.782721841038855e-07,3.531817939702186e-05
1,6,70,9.81183426773698e-07,1.2455989092502749e-06
1,7,70,9.418562269202354e-07,1.521431107328526e-05
1,8,70,9.37481484805769e-07,1.7104315945061994e-05
1,9,70,9.708092342703218e-07,5.099135595403436e-06
1,10,70,9.805246815782514e-07,1.5748271198599766e-06
1,11,70,8.681761971018799e-07,4.094001952011301e-05
1,12,70,9.831130283638866e-07,5.717560111156207e-07
1,13,70,9.597690851116763e-07,8.391606437755273e-06
1,14,70,9.812149441764162e-07,1.1884340728302186e-06
1,15,70,4.579150533562043e-07,0.0002289871153669
1,16,70,9.350762312375236e-07,2.1490467722813977e-05
1,17,70,9.827074970031206e-07,9.128276343652134e-07
1,18,70,7.773618194471096e-07,8.989900835258837e-05
2,0,70,9.81061622350307e-07,9.256718549341252e-09
2,1,70,9.790629043575262e-07,6.873524172106702e-07
2,2,238,9.525383914251948e-07,5.1966707844661645e-05
2,3,70,9.303947686388844e-07,1.900434904344725e-05
2,4,70,9.810876586418768e-07,6.686764660894491e-10
2,5,70,8.712083042818453e-07,3.645661810710274e-05
2,6,70,9.764469890548354e-07,1.5944654732369267e-06
2,7,70,9.337651514467864e-07,1.682030075902456e-05
2,8,70,9.286137457108588e-07,1.9046987659999253e-05
2,9,70,9.6417734832168e-07,6.1856570295338914e-06
2,10,70,9.750851492235585e-07,2.213687458117059e-06
2,11,5,8.514969873623394e-07,6.717568697647532e-05
2,12,70,9.798442802436971e-07,4.1809361803028646e-07
2,13,70,9.578622127876965e-07,7.7916030074556e-06
2,14,70,9.779849435869349e-07,1.0246496648413096e-06
2,15,70,4.576965833323181e-07,0.0002275149049165
2,16,70,9.312151080386958e-07,2.1547706097583464e-05
2,17,70,9.790692023174245e-07,8.737241567256879e-07
2,18,70,7.752464845328986e-07,8.921064109214943e-05
3,0,70,9.857650120263496e-07,1.3795764183799228e-08
3,1,70,9.835971602125122e-07,7.505871150790556e-07
3,2,238,9.525383914251948e-07,3.237856360021971e-05
3,3,70,9.332037522912428e-07,1.9827333367325635e-05
3,4,70,9.858047972879678e-07,6.705353141727903e-10
3,5,70,8.767597859864515e-07,3.6209872246911145e-05
3,6,70,9.814512905965051e-07,1.4989551419618355e-06
3,7,70,9.395415851958528e-07,1.6499138286557185e-05
3,8,70,9.345412177589192e-07,1.868538652624801e-05
3,9,70,9.696542775257994e-07,5.934207808610064e-06
3,10,70,9.802838471467064e-07,2.045907707849356e-06
3,11,5,8.728512642497078e-07,6.852439174029103e-05
3,12,224,9.73281915189568e-07,4.014892367229719e-05
3,13,70,9.620305783315954e-07,7.985445273615579e-06
3,14,70,9.825614148903751e-07,1.0717640600603233e-06
3,15,238,4.351980907353354e-07,0.0002658274213774
3,16,70,9.359696602280316e-07,2.1531609233572683e-05
3,17,70,9.8376074848016e-07,8.848236031003647e-07
3,18,70,7.794758680126515e-07,8.94319910988399e-05
4,0,70,9.32902636627396e-07,1.1983155186322305e-07
4,1,70,9.28630059745186e-07,1.5762414647804762e-06
4,2,70,9.303947686388844e-07,1.020411030560366e-06
4,3,70,9.332037522912428e-07,2.3037141608933513e-08
4,4,70,9.332639369255416e-07,6.907543454826249e-10
4,5,70,8.339087347362706e-07,3.300840685494291e-05
4,6,70,9.314884456297944e-07,6.125086506821337e-07
4,7,70,8.990727795597362e-07,1.2218125787259924e-05
4,8,70,8.960817824820815e-07,1.3586252465749803e-05
4,9,70,9.247653901161268e-07,3.131231984936588e-06
4,10,70,9.318109092261648e-07,5.40556910088078e-07
4,11,5,7.843742725824048e-07,8.366495075918644e-05
4,12,70,9.301797728674267e-07,1.0381223766384724e-06
4,13,70,9.034880774612004e-07,1.000833976218427e-05
4,14,70,9.283300389094212e-07,1.6306682414007402e-06
4,15,70,3.97471723454676e-07,0.0002329852548768
4,16,70,8.83833082766338e-07,2.135700790918579e-05
4,17,70,9.309342767893952e-07,1.008380506829775e-06
4,18,70,7.218728441349489e-07,9.163214236189904e-05
5,0,70,9.872163200021624e-07,2.1718151989470912e-08
5,1,70,9.848164395853587e-07,8.332502157852697e-07
5,2,70,9.810876586418768e-07,2.175097647293804e-06
5,3,70,9.858047972879678e-07,5.367378422781949e-07
5,4,70,9.332639369255416e-07,2.0007537744519327e-05
5,5,70,8.798363207882215e-07,3.558258068775896e-05
5,6,70,9.83359152981946e-07,1.3411341079896404e-06
5,7,70,9.432056875128914e-07,1.5549410157489894e-05
5,8,70,9.386760549760336e-07,1.7480025174138634e-05
5,9,70,9.724978290151848e-07,5.35410248348219e-06
5,10,70,9.825212774030743e-07,1.7367483895230216e-06
5,11,70,8.730094897774611e-07,3.997130582053867e-05
5,12,70,9.857305457276723e-07,5.194846043506673e-07
5,13,70,9.628512555169455e-07,8.173030459051688e-06
5,14,70,9.838412056617183e-07,1.1340242083394262e-06
5,15,70,4.6164055539244963e-07,0.0002283824265533
5,16,70,9.374991037590064e-07,2.1508080198291104e-05
5,17,70,9.851997901591848e-07,9.004761901442543e-07
5,18,70,7.80362592740969e-07,8.965488525550626e-05
6,0,70,8.798340738781645e-07,1.413478144600146e-09
6,1,70,8.782721841038855e-07,5.297324795765308e-07
6,2,70,8.712083042818453e-07,3.035842577450424e-06
6,3,70,8.767597859864515e-07,1.1213486020046418e-06
6,4,70,8.339087347362706e-07,1.706563416691082e-05
6,5,70,8.798363207882215e-07,6.635476205259334e-10
6,6,70,8.74344131753158e-07,1.8804891142156903e-06
6,7,71,8.242199850241017e-07,2.410268924776424e-05
6,8,70,8.237060877293524e-07,2.023578043245239e-05
6,9,70,8.606562672564076e-07,6.9647979111570665e-06
6,10,70,8.723704163914057e-07,2.7317819187003e-06
6,11,6,7.524065578653279e-07,6.887694936623101e-05
6,12,70,8.78907057835826e-07,3.119997845756729e-07
6,13,70,8.580624051152112e-07,7.290046915825567e-06
6,14,70,8.771040996744634e-07,9.01420300345504e-07
6,15,70,3.594762051631121e-07,0.0002261172727599
6,16,70,8.298600287918035e-07,2.1592412769341415e-05
6,17,70,8.778877447057206e-07,8.434521199240872e-07
6,18,70,6.753156080063058e-07,8.862213738321385e-05
7,0,70,9.833215025218054e-07,1.3078495813286316e-08
7,1,70,9.81183426773698e-07,7.376431795966156e-07
7,2,70,9.764469890548354e-07,2.438999439385868e-06
7,3,70,9.814512905965051e-07,6.984749542053847e-07
7,4,70,9.314884456297944e-07,1.9365560080370237e-05
7,5,70,9.83359152981946e-07,6.702739438929393e-10
7,6,70,8.74344131753158e-07,3.614691780678379e-05
7,7,70,9.371996646454842e-07,1.6365010296254548e-05
7,8,70,9.32272216499674e-07,1.848484067617721e-05
7,9,70,9.672199260434758e-07,5.883611420317981e-06
7,10,70,9.77814715342765e-07,2.037393874514283e-06
7,11,70,8.713843307702347e-07,3.934070481519448e-05
7,12,70,9.820109077498532e-07,4.528670103310591e-07
7,13,70,9.59709436233579e-07,7.926527464054303e-06
7,14,70,9.8013909579971e-07,1.0628549894363646e-06
7,15,70,4.591683756818773e-07,0.000227825027031
7,16,70,9.335190024848806e-07,2.15336607258787e-05
7,17,70,9.813188231812462e-07,8.831619639512184e-07
7,18,70,7.771360862227413e-07,8.936854994211859e-05
8,0,70,9.43207600085396e-07,4.184532318169514e-11
8,1,70,9.418562269202354e-07,4.584336949426842e-07
8,2,70,9.337651514467864e-07,3.3403531974294844e-06
8,3,70,9.395415851958528e-07,1.3462755124926363e-06
8,4,70,8.990727795597362e-07,1.655742898834591e-05
8,5,70,9.432056875128914e-07,6.608271943691835e-10
8,6,71,8.242199850241017e-07,4.669501798138556e-05
8,7,70,9.371996646454842e-07,2.063948138954616e-06
8,8,70,8.844481319360845e-07,2.1339840789494556e-05
8,9,70,9.225249688278216e-07,7.569268920881179e-06
8,10,70,9.347961824441436e-07,3.1030774627174163e-06
8,11,70,8.398274795652091e-07,3.641869577102043e-05
8,12,70,9.424221403760262e-07,2.637655788114652e-07
8,13,70,9.22115525293039e-07,7.076500121899168e-06
8,14,70,9.406564780926642e-07,8.420457526276374e-07
8,15,70,4.241572067114245e-07,0.0002256338397787
8,16,70,8.931737636070744e-07,2.1616559750265e-05
8,17,70,9.412936109085668e-07,8.277162385622616e-07
8,18,70,7.393253607922688e-07,8.836215981128036e-05
9,0,70,9.386771812370752e-07,2.9888517202277726e-10
9,1,70,9.37481484805769e-07,4.062619641162234e-07
9,2,70,9.286137457108588e-07,3.5666600650531733e-06
9,3,70,9.345412177589192e-07,1.5230770130793177e-06
9,4,70,8.960817824820815e-07,1.6029295576736794e-05
9,5,70,9.386760549760336e-07,6.587577324553461e-10
9,6,70,8.237060877293524e-07,3.816777251713808e-05
9,7,70,9.32272216499674e-07,2.203183680270201e-06
9,8,70,8.844481319360845e-07,1.932000931506001e-05
9,9,70,9.168824246806084e-07,7.996653780322893e-06
9,10,70,9.295385435190642e-07,3.380731741042693e-06
9,11,70,8.370344878322783e-07,3.586764189652849e-05
9,12,70,9.379961064267528e-07,2.291408608136336e-07
9,13,70,9.18120550690674e-07,6.9018721645863545e-06
9,14,70,9.362634262727668e-07,7.972537655624354e-07
9,15,70,4.207149006964888e-07,0.0002251885240265
9,16,70,8.886018328830434e-07,2.1634868053944128e-05
9,17,70,9.36791615146452e-07,8.157782346251637e-07
9,18,70,7.353011308714732e-07,8.814864951595988e-05
10,0,70,9.724911912815465e-07,2.8641570995651793e-09
10,1,70,9.708092342703218e-07,5.741885078451939e-07
10,2,70,9.6417734832168e-07,2.9513254831479303e-06
10,3,70,9.696542775257994e-07,1.0486706835578636e-06
10,4,70,9.247653901161268e-07,1.798315932902114e-05
10,5,70,9.724978290151848e-07,6.649340695541936e-10
10,6,70,8.606562672564076e-07,3.7135627623402064e-05
10,7,70,9.672199260434758e-07,1.8167276150835065e-06
10,8,70,9.225249688278216e-07,1.781652494823341e-05
10,9,70,9.168824246806084e-07,2.026371672913476e-05
10,10,70,9.65371505174101e-07,2.639415531706884e-06
10,11,70,8.650391686185048e-07,3.7944042589771846e-05
10,12,70,9.714854303005e-07,3.409364388268549e-07
10,13,70,9.502787953313952e-07,7.462274889763275e-06
10,14,70,9.696638382915508e-07,9.365069133050422e-07
10,15,70,4.510815970496978e-07,0.0002267007871145
10,16,70,9.225493144919502e-07,2.158057923642635e-05
10,17,70,9.70530316735292e-07,8.517159831583054e-07
10,18,70,7.675720489402925e-07,8.882288885950902e-05
11,0,70,9.824974273469775e-07,8.541744548033042e-09
11,1,70,9.805246815782514e-07,6.79036084607823e-07
11,2,70,9.750851492235585e-07,2.6395392513557937e-06
11,3,70,9.802838471467064e-07,8.261322603914407e-07
11,4,70,9.318109092261648e-07,1.9127736459633147e-05
11,5,70,9.825212774030743e-07,6.683387468560501e-10
11,6,70,8.723704163914057e-07,3.658087373304699e-05
11,7,70,9.77814715342765e-07,1.6208763036648905e-06
11,8,70,9.347961824441436e-07,1.7027631030723268e-05
11,9,70,9.295385435190642e-07,1.9322064311985163e-05
11,10,70,9.65371505174101e-07,6.304840001288575e-06
11,11,70,8.717625358082913e-07,3.91349086707267e-05
11,12,70,9.812980799900932e-07,4.118970671712062e-07
11,13,70,9.593578795699215e-07,7.781483206147501e-06
11,14,70,9.794412069050745e-07,1.017912202655582e-06
11,15,70,4.591906850133205e-07,0.0002275437730545
11,16,70,9.326417263918904e-07,2.1550802948216683e-05
11,17,70,9.80507367528358e-07,8.717910967253082e-07
11,18,70,7.767387811279842e-07,8.919638349843103e-05
12,0,70,8.726125188495827e-07,1.3146535999570774e-07
12,1,70,8.681761971018799e-07,1.6395422108781097e-06
12,2,5,8.514969873623394e-07,1.090932458149352e-05
12,3,5,8.728512642497078e-07,3.5774446896465683e-06
12,4,5,7.843742725824048e-07,3.703100920286757e-05
12,5,70,8.730094897774611e-07,6.922490125284853e-10
12,6,6,7.524065578653279e-07,4.2228090863723626e-05
12,7,70,8.713843307702347e-07,5.587387100205854e-07
12,8,70,8.398274795652091e-07,1.1790101759757234e-05
12,9,70,8.370344878322783e-07,1.3052502428258977e-05
12,10,70,8.650391686185048e-07,2.914477488940088e-06
12,11,70,8.717625358082913e-07,4.602570214361182e-07
12,12,70,8.697794922705227e-07,1.0848749632397e-06
12,13,70,8.428309953068093e-07,1.0122647844006096e-05
12,14,5,8.676942037396741e-07,4.963743520448591e-06
12,15,6,3.3237891883406213e-07,0.0002380615730597
12,16,70,8.236084789912545e-07,2.13440075685954e-05
12,17,70,8.706582877845561e-07,1.0176394734623669e-06
12,18,70,6.612857273758313e-07,9.175901057304736e-05
13,0,70,9.856512918831553e-07,2.6772782971597987e-08
13,1,70,9.831130283638866e-07,8.864532539865209e-07
13,2,70,9.798442802436971e-07,2.073305698792992e-06
13,3,224,9.73281915189568e-07,3.0035148885821965e-05
13,4,70,9.301797728674267e-07,2.0674215132311853e-05
13,5,70,9.857305457276723e-07,6.746142618004497e-10
