outer_resampling_id,train_mse
0,7.725337955189576e-06
1,8.381220256060028e-06
2,8.4880496120387e-06
3,8.24615890506917e-06
4,8.331070332581329e-06
5,8.546296532832464e-06
6,8.376652526198023e-06
7,8.530442523878696e-06
8,8.37054778194563e-06
9,8.154091337242618e-06
10,8.188393204069136e-06
11,8.16800149632028e-06
12,8.498948415717611e-06
13,7.262557568274692e-06
14,7.502041046279618e-06
15,7.90583006355502e-06
16,5.698273312500422e-06
17,7.971730912255911e-06
18,8.411203815760118e-06
19,8.201398407230277e-06
