,time_step,stimulus,type,familiarity,novelty,n_im
0,0,0,fam,0.001949317738791423,6.240275845170769,3
1,1,1,fam,0.0019305019305019305,6.249975242259483,3
2,2,2,fam,0.0019157088122605363,6.257667587882639,3
3,3,0,fam,0.007996953541507998,4.828694617139319,3
4,4,1,fam,0.007958162801273306,4.833557109625293,3
5,5,2,fam,0.007927400114758554,4.837430151472392,3
6,6,0,fam,0.010985868000987494,4.511145559336195,3
7,7,1,fam,0.010958839930661086,4.513608848806925,3
8,8,2,fam,0.010937313040586214,4.515575120876616,3
9,9,0,fam,0.01248915885343584,4.382894302714082,3
10,10,1,fam,0.012473502048518794,4.384148720825326,3
11,11,2,fam,0.012461004840394791,4.385151123577955,3
12,12,0,fam,0.013251903581033671,4.323614070375841,3
13,13,1,fam,0.013243418485819385,4.324254568006551,3
14,14,2,fam,0.01323663822908093,4.324766670904187,3
15,15,0,fam,0.013640628771581459,4.29470253000601,3
16,16,1,fam,0.013636162549247455,4.295030004181501,3
17,17,2,fam,0.013632591676588377,4.295291906331479,3
18,18,0,fam,0.013839186731338477,4.280251092705704,3
19,19,1,fam,0.013836868221198256,4.2804186389943375,3
20,20,2,fam,0.013835013972343452,4.2805526558165115,3
21,21,0,fam,0.01394072571294175,4.272940815252902,3
22,22,1,fam,0.013939530317012012,4.273026567401605,3
23,23,2,fam,0.013938574147862957,4.27309516382649,3
24,24,0,fam,0.01399268155361914,4.269220832216353,3
25,25,1,fam,0.013992067332683456,4.269264729050181,3
26,26,2,fam,0.013991575994758481,4.269299845129905,3
27,27,0,fam,0.014019274530632977,4.267322144033146,3
28,28,1,fam,0.01401895947884024,4.267344617045722,3
29,29,2,fam,0.014018707447601185,4.267362595092163,3
30,30,0,fam,0.014032887930156777,4.266351566409299,3
31,31,1,fam,0.014032726474084963,4.266363072023927,3
32,32,2,fam,0.014032597311902487,4.266372276420318,3
33,33,0,fam,0.014039857412871984,4.265855036214391,3
34,34,1,fam,0.014039774708164553,4.265860926940244,3
35,35,2,fam,0.014039708545100157,4.265865639495941,3
36,36,0,fam,0.014043425636559357,4.2656009189375546,3
37,37,1,fam,0.014043383281474265,4.2656039349501755,3
38,38,2,fam,0.014043349397590141,4.265606347753724,3
39,39,0,fam,0.014045252527384205,4.265470838709731,3
40,40,1,fam,0.014045230838887247,4.265472382897965,3
41,41,2,fam,0.014045213488137906,4.265473618246836,3
42,42,0,fam,0.014046187885078868,4.2654042449230625,3
43,43,1,fam,0.014046176779862382,4.265405035544758,3
44,44,2,fam,0.014046167895701837,4.265405668041663,3
45,45,0,fam,0.014046666785490264,4.265370150815001,3
46,46,1,fam,0.014046661099434341,4.2653705556126065,3
47,47,2,fam,0.014046656550592914,4.265370879450573,3
48,48,0,fam,0.014046911981785704,4.265352695132514,3
49,49,1,fam,0.014046909070476553,4.265352902388703,3
