resampling_id,shift,coef
0,-0.006966254527545221,0.03298051579820345
1,-0.006457564410566677,0.03277078208995633
2,-0.0054503205468829155,0.03235549391432925
3,-0.00523242799922187,0.03226565648581423
4,-0.007262243893567645,0.03310255266360654
5,-0.0072574779083835195,0.033100587640672634
6,-0.006453940298308591,0.03276928786296507
7,-0.00772442443820448,0.0332931104045002
8,-0.007607085387468349,0.03324473133557066
9,-0.007854321358204977,0.03334666710201067
10,-0.00868495087975147,0.03368913691598747
11,-0.00907098270035639,0.033848298422245425
12,-0.007144712191625123,0.03305409416429184
13,-0.007523129135864941,0.03321011604545278
14,-0.007384581496801025,0.03315299264332664
15,-0.007507695584943422,0.03320375276895466
16,-0.012320808921183785,0.03346103413489056
17,-0.006326704839748121,0.03308559192257457
18,-0.0069316267379388175,0.033111894565152865
19,-0.004824541549975692,0.0333029744094101
