outer_resampling_id,train_mse
0,1.23107096687551e-05
1,1.155276515926858e-05
2,1.0203919334447775e-05
3,9.919196838041407e-06
4,1.1355340438212325e-05
5,1.2791011198161493e-05
6,1.2181981820980639e-05
7,1.2501786009984914e-05
8,1.2482661210788738e-05
9,1.2734660215358424e-05
10,1.2624504031520739e-05
11,1.0942957057519132e-05
12,1.1782566779672979e-05
13,1.266778055149964e-05
14,1.2772491662608491e-05
15,1.2268409045157416e-05
16,1.2710075901017148e-05
17,1.2723471673978128e-05
18,1.2774640662216729e-05
19,1.2767935352643392e-05
