outer_resampling_id,train_mse
0,1.3329996621059092e-05
1,1.2485005286373773e-05
2,1.1019820086599553e-05
3,1.0705784563842865e-05
4,1.2214334538685733e-05
5,1.3864541793267207e-05
6,1.3248836002764615e-05
7,1.3565700718903523e-05
8,1.3540996108265126e-05
9,1.379996772497968e-05
10,1.371469986679959e-05
11,1.2092380619815678e-05
12,1.2683274618269424e-05
13,1.3701576583357973e-05
14,1.3854442381559346e-05
15,1.3387303177253534e-05
16,1.3805681816589006e-05
17,1.3795350580332921e-05
18,1.3843986051840448e-05
19,1.3849306279262219e-05
