outer_resampling_id,train_mse
0,9.282947871327219e-07
1,9.492110690642717e-07
2,9.263594204160126e-07
3,8.994258328504289e-07
4,9.535156864561146e-07
5,9.53770364158941e-07
6,9.53680748934344e-07
7,9.023982352619992e-07
8,9.433804678248044e-07
9,9.055373139466057e-07
10,9.308334436870478e-07
11,9.328137196859889e-07
12,8.332355648834207e-07
13,9.469791535041828e-07
14,9.376269625126855e-07
15,9.475739202327681e-07
16,4.35505729937867e-07
17,8.988319182383236e-07
18,9.456262917554387e-07
19,7.549196587916699e-07
