exp_id,id_in_exp,yres,ypred,w
0,0,8.518080885151821e-06,0.017818575146394525,0.05
0,1,1.4646731525135645e-06,0.025110236816707196,0.05
0,2,8.710433145500771e-06,0.03234865570536056,0.05
0,3,1.6954976331102357e-05,0.03668235791610024,0.05
0,4,3.157066012017021e-09,0.0392438122254221,0.05
1,0,8.450955249562975e-10,-2.9070526740262164e-05,0.05
1,1,2.8067161326597127e-09,0.023747021550299584,0.05
1,2,1.6298270302960376e-05,0.03303711162874652,0.05
1,3,3.1897020090523705e-06,0.036714026313449055,0.05
1,4,1.4908221722235629e-05,0.038338883358115736,0.05
1,5,7.023901748558984e-06,0.039049735532336635,0.05
1,6,6.394935262288704e-06,0.03947117907666662,0.05
2,0,3.824090154610052e-05,0.03348392282827822,0.05
2,1,2.219820735326481e-06,0.022689906284075103,0.05
2,2,5.338464112265518e-06,0.02121051165594669,0.05
2,3,2.0697481185093685e-06,0.01623866191946175,0.05
3,0,0.00013451970887354978,0.06470173681650784,0.05
3,1,1.3062751060114086e-05,0.07221424280591579,0.05
3,2,7.20696039117333e-07,0.076348938183331,0.05
3,3,5.090939791863753e-05,0.07883508219424538,0.05
