outer_resampling_id,train_mse
0,3.934526340644173e-06
1,4.024724879265946e-06
2,3.874472735445834e-06
3,3.7163125148566326e-06
4,4.025968757817605e-06
5,3.970429843489376e-06
6,3.967466086787161e-06
7,3.826834840727749e-06
8,3.926082806480196e-06
9,3.8039162105873363e-06
10,3.8834316384559466e-06
11,3.889450333763179e-06
12,3.552629312400822e-06
13,4.06159514482042e-06
14,4.02821156409068e-06
15,4.058531676449712e-06
16,1.6486618873823485e-06
17,4.533828564145379e-06
18,4.846365811849904e-06
19,3.663377996871529e-06
