n_fam,nt_norm,sample_id
1,0.6644994655801635,0
3,0.8542494822981621,0
8,0.9943948967377876,0
18,1.1055320610960127,0
38,1.214135070447009,0
1,0.7566209608683359,1
3,1.0216979658349252,1
8,1.1969488322391417,1
18,1.226074691742925,1
38,1.2235071186567834,1
1,0.8057756118898469,2
3,1.342432502469123,2
8,2.1059922295461115,2
18,2.715027787436693,2
38,3.034719280995427,2
1,0.8061501109262048,3
3,1.0510411213171151,3
8,1.2842171916342302,3
18,1.3351038458893836,3
38,1.2901794264823385,3
1,0.7345962822681766,4
3,0.974667682902842,4
8,1.1513443182206409,4
18,1.1962154434988208,4
38,1.2012208341906685,4
1,1.279856936071874,5
3,1.8558300582677039,5
8,2.684929307436854,5
18,3.3334983510816247,5
38,3.69224502980198,5
1,0.7254526786477964,6
3,1.0895235088425623,6
8,1.3791119158870155,6
18,1.4699023517213214,6
38,1.4858534689638578,6
1,0.4996946314266766,7
3,0.9116316908585167,7
8,1.2387289979983331,7
18,1.2790105762083916,7
38,1.2376984565137221,7
1,0.7454300895168404,8
3,1.1614078339023113,8
8,1.839788671162731,8
18,2.6821836347856145,8
38,3.569957570233713,8
1,0.479904547347882,9
3,0.6831854332546843,9
8,0.8659189264967619,9
18,0.987884388891836,9
38,1.1186911506340846,9
1,1.134483458888289,10
3,1.5993678819969168,10
8,2.216579893406335,10
18,3.0086907192873964,10
38,3.8183066205504828,10
1,0.5394345808211538,11
3,0.7226465002866085,11
8,0.8648195796412053,11
18,1.137779533865169,11
38,1.8146265422635888,11
1,0.3231709627627244,12
3,0.3781731282630676,12
8,0.33052656602915853,12
18,0.20534313616826094,12
38,0.045869246482933335,12
1,0.4265359909721762,13
3,0.6516682538131593,13
8,0.8617214254235599,13
18,0.9381194480263413,13
38,0.9513476874626099,13
1,0.7479241797726823,14
3,1.0300696043953985,14
8,1.2950852910925779,14
18,1.4347133507773355,14
38,1.5671253903151978,14
1,0.64924709668318,15
3,1.0671189435982977,15
8,1.6654172919678556,15
18,2.248475529818447,15
38,2.5189408650979255,15
1,0.22208709789677394,16
3,0.22072386820434886,16
8,0.051048270380151806,16
18,-0.16766800951987837,16
38,-0.3271640722171454,16
1,0.7992005064058958,17
3,1.0615525284405394,17
8,1.3129384047603347,17
18,1.4701962949447613,17
38,1.5278438392949143,17
1,0.7024826277910805,18
3,0.8483498740801225,18
8,0.931003100628977,18
18,0.9588020363039533,18
38,0.9624842979581174,18
1,0.516754503952519,19
3,0.6460507856261306,19
8,0.5999535185640748,19
18,0.5124379532030263,19
38,0.4815268444955556,19
1,0.35663821115823513,20
3,0.5200268412547588,20
8,0.6392542577439162,20
18,0.6751117296362301,20
38,0.684586827925149,20
1,0.49640674295779963,21
3,0.771364528962428,21
8,1.020311944557412,21
18,1.1113829520575902,21
38,1.0996901090987599,21
1,0.07719746764978641,22
3,0.13546224767219317,22
8,0.1450802756137477,22
18,0.1283814404558108,22
38,0.11893816531591872,22
1,1.0403368393182004,23
3,1.2798124314562698,23
8,1.4190229651695871,23
18,1.580346110145111,23
38,1.8428603547850793,23
1,0.8402471909663114,24
3,1.2042217406460864,24
8,1.6821879410363947,24
18,1.9843376564946038,24
38,1.961651344984309,24
1,0.3522235700849241,25
3,0.48301705383446514,25
