resampling_id,shift,coef,outer_resampling_id
0,0.020368894890649997,0.025961972589981223,0
1,0.02084611375833076,0.02572668091513325,0
2,0.02106967420094647,0.025616454948527087,0
3,0.020478153449199874,0.025908102906752616,0
4,0.020491343001451237,0.02590159982808183,0
5,0.020488534584486125,0.02590298451166443,0
6,0.019958752351361502,0.026164192434021728,0
7,0.02073167610508936,0.025783104139193318,0
8,0.02106135448967334,0.0256205569632048,0
9,0.020884423411581202,0.025707792427928308,0
10,0.020870171760538906,0.025714819171986838,0
11,0.019670626301434537,0.026306252326129747,0
12,0.020358724403113197,0.025966987125676712,0
13,0.02030388819466397,0.025994023993248697,0
14,0.020402504104749968,0.025945401643584363,0
15,0.016124491485774002,0.026131440315549002,0
16,0.021709216527039228,0.025894688616296135,0
17,0.020764858784267228,0.025908357027285847,0
18,0.022684394944227054,0.026000012185661947,0
0,0.020368894890649997,0.025961972589981223,1
1,0.020935660541218627,0.025682530077960085,1
2,0.02116670825965415,0.025568612527078868,1
3,0.020562124700512045,0.025866701072712935,1
4,0.0205665410286334,0.025864523612200103,1
5,0.020566762415722684,0.025864414457800404,1
6,0.02002752795553585,0.02613028277916354,1
7,0.020820539976407697,0.02573929001001274,1
8,0.021159127185254,0.02557235035853015,1
9,0.020978272650751917,0.025661520274492713,1
10,0.020963914374748725,0.025668599589745163,1
11,0.0197326981859575,0.026275647924963983,1
12,0.020433718992404783,0.025930011214383212,1
13,0.020377288322574048,0.02595783422750463,1
14,0.020477132433253158,0.025908606316337648,1
15,0.016193353184498716,0.026099197120551924,1
16,0.02178511650550546,0.025857458513254133,1
17,0.020838246656369686,0.025871390876382752,1
18,0.02275281024554825,0.025964984239733115,1
0,0.02084611375833076,0.02572668091513325,2
1,0.020935660541218627,0.025682530077960085,2
2,0.021709678347069352,0.025300902363226484,2
3,0.021093250049113808,0.025604830930331383,2
4,0.021038756730884404,0.025631698736662125,2
5,0.021059021884003427,0.02562170704911297,2
6,0.020522561756097946,0.02588620749226913,2
7,0.021352098585085685,0.025477206249738267,2
8,0.02170729134936041,0.0253020792670055,2
9,0.021522781743707486,0.02539305130746694,2
10,0.021509403227735195,0.025399647554269572,2
11,0.020219257105444602,0.02603575115886436,2
12,0.020920018668573046,0.025690242267610987,2
13,0.020859480809058004,0.025720090321243543,2
14,0.020955774318230976,0.02567261302605526,2
15,0.016678786850190627,0.025871901938601446,2
16,0.022260232554062977,0.025624406807546764,2
17,0.021300549676821323,0.02563852456308895,2
18,0.02320312765085182,0.025734426259001127,2
0,0.02106967420094647,0.025616454948527087,3
1,0.02116670825965415,0.025568612527078868,3
2,0.021709678347069352,0.025300902363226484,3
3,0.021345712562049448,0.025480354863838796,3
4,0.02126133232007132,0.025521958349793986,3
5,0.02129172585418623,0.02550697288708334,3
6,0.020752238543817823,0.02577296587565213,3
7,0.02160693061770336,0.025351561896967956,3
8,0.021973487562793242,0.025170831830789924,3
9,0.02178560689144817,0.025263465967506223,3
10,0.021772619737170217,0.025269869254317623,3
11,0.020442185299219172,0.025925836921108055,3
12,0.021148657666977162,0.025577512330650386,3
13,0.02108560475912315,0.025608600423133187,3
14,0.021180897963159643,0.025561616326112157,3
15,0.01690336737863281,0.025766746330981926,3
16,0.022484299804291733,0.025514498386188404,3
17,0.021518351833672948,0.025528815599379535,3
18,0.023413739627368542,0.02562659504605718,3
0,0.020478153449199874,0.025908102906752616,4
1,0.020562124700512045,0.025866701072712935,4
2,0.021093250049113808,0.025604830930331383,4
3,0.021345712562049448,0.025480354863838796,4
4,0.02068665853900515,0.025805299947529663,4
5,0.020692189047187427,0.025802573143077684,4
6,0.020118371676965348,0.026085492489398916,4
7,0.02097336797893187,0.025663938511752964,4
8,0.021339422456232097,0.02548345618617319,4
9,0.021145507371461203,0.025579065576673145,4
10,0.021130511475941662,0.025586459268774606,4
11,0.019801852369748015,0.026241551612289065,4
12,0.020549245935795914,0.025873050918297974,4
13,0.020488258538439563,0.025903120615538427,4
14,0.0205934590927003,0.025851251722073997,4
15,0.016286359749752947,0.0260556485460172,4
16,0.021906842685539316,0.02579774995579271,4
17,0.02095502236615396,0.02581256986977725,4
18,0.02285547153737771,0.0259124226912236,4
0,0.020491343001451237,0.02590159982808183,5
1,0.0205665410286334,0.025864523612200103,5
2,0.021038756730884404,0.025631698736662125,5
3,0.02126133232007132,0.025521958349793986,5
4,0.02068665853900515,0.025805299947529663,5
5,0.02068261295346569,0.02580729461425763,5
6,0.020172425759615795,0.026058841247169104,5
7,0.02093128550231131,0.025684687180920044,5
8,0.021254982717331526,0.02552508900695037,5
9,0.021083047874049642,0.025609861089490028,5
