resampling_id,shift,coef,outer_resampling_id
0,0.022903881386872757,0.02471210327674139,0
1,0.022412156154616857,0.02495454728157462,0
2,0.019262788115111493,0.02650733601419364,0
3,,0.025965458787881267,0
0,0.022903881386872757,0.02471210327674139,1
1,0.02266153747122349,0.024831590391908156,1
2,0.019342090254076717,0.026468236275352955,1
3,,0.025918825986685608,1
0,0.022903881386872757,0.02471210327674139,2
1,0.02383864162357145,0.02425122187290456,2
2,0.020071912846292016,0.026108398909955453,2
3,,0.02561380952786314,2
0,0.022903881386872757,0.02471210327674139,3
1,0.024481196529883363,0.02393441164110743,3
2,0.0204142931280673,0.02593958909251185,3
3,,0.025467476279122804,3
0,0.022903881386872757,0.02471210327674139,4
1,0.02326630956387488,0.024533408890257125,4
2,0.01940527633783993,0.0264370825207917,4
3,,0.025844694504817113,4
0,0.022501089698618155,0.02491069880043653,5
1,0.023292375684083332,0.024520557049108334,5
2,0.019608438284067067,0.02633691398632977,5
3,,0.025831700616270336,5
0,0.02260343865283809,0.024860235881871764,6
1,0.023292375684083332,0.024520557049108334,6
2,0.019567175302923963,0.026357258605119806,6
3,,0.025830478722280396,6
0,0.02200980981641822,0.025152923226439885,7
1,0.023292375684083332,0.024520557049108334,7
2,0.018956136033231062,0.0266585301241246,7
3,,0.026050473728043144,7
0,0.023095743300954076,0.02461750619736956,8
1,0.023292375684083332,0.024520557049108334,8
2,0.019771128539893684,0.026256699926561086,8
3,,0.02572505142540956,8
0,0.02356713016873916,0.02438508997677559,9
1,0.023292375684083332,0.024520557049108334,9
2,0.020118315518936284,0.026085520177987147,9
3,,0.025586781487977297,9
0,0.023343793494880832,0.024495205614706014,10
1,0.023292375684083332,0.024520557049108334,10
2,0.019922430185039627,0.02618210099532717,10
3,,0.025660574299074423,10
0,0.023333040838554996,0.024500507187395854,11
1,0.023292375684083332,0.024520557049108334,11
2,0.01990434798840714,0.02619101638115688,11
3,,0.025666424045086313,11
0,0.021684465870133746,0.02531333331750554,12
1,0.022032675426353128,0.025141649389585616,12
2,0.019686425099152444,0.026298462764929677,12
3,,0.026213292012935815,12
0,0.023324129011309366,0.024504901143504017,13
1,0.02373369528354158,0.024302965426621977,13
2,0.019686425099152444,0.026298462764929677,13
3,,0.025623816828833485,13
0,0.023138909347821368,0.02459622327636241,14
1,0.02353136935393048,0.024402721764997116,14
2,0.019686425099152444,0.026298462764929677,14
3,,0.02567395300031364,14
0,0.02330234973408156,0.024515639366493425,15
1,0.02369042321955078,0.0243243006191302,15
2,0.019686425099152444,0.026298462764929677,15
3,,0.025596805385661205,15
0,0.018151245453253067,0.02518245089770467,16
1,0.01849973493868776,0.025019277251956788,16
2,0.0149176392269081,0.0266965261823796,16
3,,0.025766987140189875,16
0,0.024502790499016002,0.024524397755430617,17
1,0.02491573994821665,0.024321839719768996,17
2,0.02121200306336468,0.026138579442888568,17
3,,0.025766987140189875,17
0,0.023442278723414957,0.02455971580543195,18
1,0.023841034019107296,0.024358859069684165,18
2,0.02024364873983666,0.026170895354160017,18
3,,0.025766987140189875,18
0,0.024999957357605625,0.024814467527605598,19
1,0.025362331600142958,0.02462893556138642,19
2,0.02193080658195508,0.02638584184505835,19
3,,0.025766987140189875,19
