subID,var_name,mle_ll,mle_var,opt_success,opt_it,opt_time,cvID,ll_per_mouse
-1,lambda_N,5274.330339151296,0.4088477222130966,True,262,4942.718358990969,0,329.645646196956
-1,beta_1,5274.330339151296,3.15547861174941,True,262,4942.718358990969,0,329.645646196956
-1,epsilon,5274.330339151296,9.97917070413385e-05,True,262,4942.718358990969,0,329.645646196956
-1,k_leak,5274.330339151296,0.8523768955624104,True,262,4942.718358990969,0,329.645646196956
-1,alph_leak,5274.330339151296,0.4997909302020759,True,262,4942.718358990969,0,329.645646196956
-1,eps_leak1,5274.330339151296,7.339901308312377,True,262,4942.718358990969,0,329.645646196956
-1,eps_leak2,5274.330339151296,0.001312691736057321,True,262,4942.718358990969,0,329.645646196956
-1,w_cnov,5274.330339151296,0.4719329127827352,True,262,4942.718358990969,0,329.645646196956
-1,lambda_N,5191.9506997839635,0.4687320559670119,True,606,9917.904599296977,1,324.4969187364977
-1,beta_1,5191.9506997839635,101.84894366538525,True,606,9917.904599296977,1,324.4969187364977
-1,epsilon,5191.9506997839635,0.0008866829233949841,True,606,9917.904599296977,1,324.4969187364977
-1,k_leak,5191.9506997839635,2.201660348326679e-06,True,606,9917.904599296977,1,324.4969187364977
-1,alph_leak,5191.9506997839635,0.501667544632604,True,606,9917.904599296977,1,324.4969187364977
-1,eps_leak1,5191.9506997839635,43.24744724462335,True,606,9917.904599296977,1,324.4969187364977
-1,eps_leak2,5191.9506997839635,3.2829695497800716e-05,True,606,9917.904599296977,1,324.4969187364977
-1,w_cnov,5191.9506997839635,0.00783021053182997,True,606,9917.904599296977,1,324.4969187364977
-1,lambda_N,5430.998224933327,0.53585074026603,True,309,5603.955593666993,2,339.43738905833294
-1,beta_1,5430.998224933327,3.011358722061067,True,309,5603.955593666993,2,339.43738905833294
-1,epsilon,5430.998224933327,4.997882552700097e-05,True,309,5603.955593666993,2,339.43738905833294
-1,k_leak,5430.998224933327,0.01063623816533558,True,309,5603.955593666993,2,339.43738905833294
-1,alph_leak,5430.998224933327,0.49580196664969933,True,309,5603.955593666993,2,339.43738905833294
-1,eps_leak1,5430.998224933327,54.59336258173586,True,309,5603.955593666993,2,339.43738905833294
-1,eps_leak2,5430.998224933327,0.00013646198362913902,True,309,5603.955593666993,2,339.43738905833294
-1,w_cnov,5430.998224933327,0.3362000690764154,True,309,5603.955593666993,2,339.43738905833294
-1,lambda_N,5739.224472428634,0.48057873816190405,True,401,7100.160577462986,3,358.7015295267896
-1,beta_1,5739.224472428634,8.312793008098904,True,401,7100.160577462986,3,358.7015295267896
-1,epsilon,5739.224472428634,9.981524555905082e-06,True,401,7100.160577462986,3,358.7015295267896
-1,k_leak,5739.224472428634,0.9797705578781233,True,401,7100.160577462986,3,358.7015295267896
-1,alph_leak,5739.224472428634,0.499701745394722,True,401,7100.160577462986,3,358.7015295267896
-1,eps_leak1,5739.224472428634,4.752271059037424,True,401,7100.160577462986,3,358.7015295267896
-1,eps_leak2,5739.224472428634,4.051924625384548e-05,True,401,7100.160577462986,3,358.7015295267896
-1,w_cnov,5739.224472428634,0.09438701932994828,True,401,7100.160577462986,3,358.7015295267896
-1,lambda_N,3963.069277050434,0.45225645054178076,True,348,3535.5822581340326,4,247.6918298156521
-1,beta_1,3963.069277050434,3.9021085165861153,True,348,3535.5822581340326,4,247.6918298156521
-1,epsilon,3963.069277050434,1.1410728963224814e-08,True,348,3535.5822581340326,4,247.6918298156521
-1,k_leak,3963.069277050434,0.10354687280052766,True,348,3535.5822581340326,4,247.6918298156521
-1,alph_leak,3963.069277050434,0.4985252640745277,True,348,3535.5822581340326,4,247.6918298156521
-1,eps_leak1,3963.069277050434,1.2106503176862975,True,348,3535.5822581340326,4,247.6918298156521
-1,eps_leak2,3963.069277050434,0.0001346161387225091,True,348,3535.5822581340326,4,247.6918298156521
-1,w_cnov,3963.069277050434,0.21718095036677668,True,348,3535.5822581340326,4,247.6918298156521
