outer_resampling_id,train_mse
0,1.542069557089662e-05
1,1.5434294192067593e-05
2,1.5334923353509564e-05
3,1.534460438594642e-05
4,1.5417663685544956e-05
5,1.5437375065152464e-05
6,1.3831937738877907e-05
7,1.389759264923456e-05
8,1.2916021768253283e-05
9,1.2660761030156964e-05
10,1.3039997123097324e-05
11,1.3319606294461805e-05
12,1.529679409152828e-05
13,1.4904312988667e-05
14,1.4687385208201662e-05
15,1.4218788954871032e-05
16,1.5385145988105837e-05
17,1.536766437712535e-05
18,1.5415883888952343e-05
19,1.5424894033568867e-05
