outer_resampling_id,train_mse
0,4.789313606947283e-06
1,4.7933723667468015e-06
2,4.514071201912918e-06
3,4.294949073333937e-06
4,4.7531326452413654e-06
5,4.637614183237709e-06
6,4.444970526120263e-06
7,4.569893727469586e-06
8,4.616501916390069e-06
9,4.601698208527198e-06
10,4.615196305235094e-06
11,4.606057201296507e-06
12,4.389890623316653e-06
13,4.5581083374446284e-06
14,4.66687025973291e-06
15,4.861139144421994e-06
16,2.002578055101325e-06
17,5.285895860045067e-06
18,5.632738051911914e-06
19,4.456622497486429e-06
