outer_resampling_id,train_mse
0,1.0979219092420217e-06
1,1.0997130507387694e-06
2,1.0277691505742757e-06
3,9.775072225139833e-07
4,1.0841177899573238e-06
5,1.100012455470743e-06
6,1.0413608494457082e-06
7,1.0743836695755208e-06
8,1.0994806238044447e-06
9,1.0974402349836457e-06
10,1.096676953815588e-06
11,1.0919611240543265e-06
12,1.0019418502579057e-06
13,1.0320554217257838e-06
14,1.073015818978797e-06
15,1.0970172809141057e-06
16,5.190934017062939e-07
17,1.0358209960688359e-06
18,1.0882279661160455e-06
19,9.020070727501494e-07
