resampling_id,train_rss,train_mse,train_nmse
0,2.001189880850023e-05,1.053257832026328e-06,0.0024313595826373725
1,2.0045254965140748e-05,1.055013419217934e-06,0.0023391072054043203
2,1.8743506990493624e-05,9.865003679207171e-07,0.002141122119121772
3,1.7831496754581533e-05,9.384998291885018e-07,0.002039003882653517
4,1.9763632203991984e-05,1.040191168631157e-06,0.0022576863921945907
5,2.0049255601131617e-05,1.0552239790069272e-06,0.0027484057747126944
6,1.899142048731926e-05,9.995484467010137e-07,0.002216865553385877
7,1.9590689268318904e-05,1.0310889088588897e-06,0.0022554453694862823
8,2.004366586953385e-05,1.0549297826070447e-06,0.0022889646446277
9,2.000696190163176e-05,1.0529979948227242e-06,0.0022910194847952352
10,1.9995067259198974e-05,1.0523719610104724e-06,0.0022883706427244484
11,1.9910122825481286e-05,1.0479012013411203e-06,0.0022794011572105518
12,1.8282624315899107e-05,9.622433850473214e-07,0.0021128024309802576
13,1.882710659043302e-05,9.90900346864896e-07,0.0022186442216838424
14,1.956262859661247e-05,1.0296120314006563e-06,0.0023282171095554247
15,1.999554573932082e-05,1.05239714417478e-06,0.0024307676349702586
16,9.401119259572536e-06,4.947957505038177e-07,0.0013137539095844678
17,1.8970695807987917e-05,9.984576741046272e-07,0.002455447021375158
18,1.9940746382008565e-05,1.049512967474135e-06,0.002761510256609546
19,1.6491578317454003e-05,8.679778061817896e-07,0.0021955174280790116
