resampling_id,shift,coef
0,0.005569734137886119,0.031223443867295492
1,0.005545974381948454,0.031234441695209114
2,0.006228234283175316,0.030918639756596828
3,0.006579516249882199,0.03075603965964539
4,0.005927757671905322,0.031057723258611374
5,0.005515440378403305,0.03124857516178955
6,0.005915403179025544,0.031063441860561997
7,0.005072633022339998,0.03145354019230815
8,0.0055755077659588315,0.031220771391696482
9,0.005694807698670527,0.0311655502802712
10,0.00530524553327158,0.03134586937395055
11,0.005170958532711906,0.03140802764388685
12,0.004616102589993919,0.031664857309599004
13,0.004934572856195821,0.03151744497116892
14,0.005736940709263713,0.031146047908226518
15,0.005579266317467441,0.031219031647281428
16,0.0007200649017423955,0.03156069845215503
17,0.006834304538133287,0.03124302217092983
18,0.005902319923557248,0.03126155732916682
19,0.007642412089855291,0.03136430526498868
