resampling_id,coef,shift
0,0.005418103596514755,0.031293630051228934
1,0.005381420824853246,0.03131060963684362
2,0.00629088461856013,0.03088964040116989
3,0.00676699243071327,0.03066926137875331
4,0.00588595849568814,0.031077071106635316
5,0.005941379506113967,0.03105141803439576
6,0.006302211966044247,0.03088439724047937
7,0.005582071356499706,0.031217733261193252
8,0.0060339214270306515,0.031008582572461335
9,0.006144997609672534,0.030957168040039194
10,0.005810813409769702,0.031111853985956756
11,0.005697108873355887,0.03116448512104756
12,0.004832384243043962,0.03156474565831092
13,0.00540596081034838,0.03129925065915941
14,0.00682113444587585,0.03064420032310869
15,0.006531013693720562,0.030778490343374487
16,0.0008782706348479385,0.031490583941953296
17,0.0075938759236715,0.030892308186882364
18,0.006612887697315675,0.030926501032023466
19,0.008155745303578404,0.03111970941318024
