Unnamed: 0,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model,jack_mse_mean,jack_mse_std,jack_mse_se
0,2.0014546822612356e-05,0,0.0,1e-06,,13,13,2.105168908492491e-05,1.5705366869926772e-06,1.5705366869926772e-06
0,2.0014546812986037e-05,1,0.0,1e-06,,13,15,2.1051689074839424e-05,1.5705366870045679e-06,1.5705366870045679e-06
0,2.0014546774480817e-05,2,0.0,1e-06,,13,23,2.105168903449752e-05,1.5705366870521317e-06,1.5705366870521317e-06
0,2.0014546581955947e-05,3,0.0,1e-06,,13,63,2.1051688832789296e-05,1.5705366872899468e-06,1.5705366872899468e-06
0,2.001454441619485e-05,4,0.0,1e-06,,13,513,2.105168656372233e-05,1.5705366899651663e-06,1.5705366899651663e-06
0,2.0014522773081014e-05,5,0.0,1e-06,,13,5013,2.1051663888250854e-05,1.5705367166964885e-06,1.5705367166964885e-06
0,1.9607808608051733e-05,6,0.0,1e-05,,13,13,2.0623167308836302e-05,1.5310713604657522e-06,1.5310713604657522e-06
0,1.960780849568949e-05,7,0.0,1e-05,,13,15,2.062316719106096e-05,1.5310713602292363e-06,1.5310713602292363e-06
0,1.9607808046246543e-05,8,0.0,1e-05,,13,23,2.062316671996588e-05,1.531071359283182e-06,1.531071359283182e-06
0,1.960780579917612e-05,9,0.0,1e-05,,13,63,2.0623164364641874e-05,1.5310713545531607e-06,1.5310713545531607e-06
0,1.9607780536195756e-05,10,0.0,1e-05,,13,513,2.0623137884619272e-05,1.531071301369101e-06,1.531071301369101e-06
0,1.960752956659996e-05,11,0.0,1e-05,,13,5013,2.0622874825854854e-05,1.531070772416056e-06,1.531070772416056e-06
0,1.904837721588554e-05,12,0.0,0.0001,,13,13,2.0033649197311827e-05,1.4761905883805487e-06,1.4761905883805487e-06
0,1.9048375873459732e-05,13,0.0,0.0001,,13,15,2.0033647789352497e-05,1.4761905799058426e-06,1.4761905799058426e-06
0,1.9048370504463326e-05,14,0.0,0.0001,,13,23,2.003364215825716e-05,1.4761905460110933e-06,1.4761905460110933e-06
0,1.904834367643117e-05,15,0.0,0.0001,,13,63,2.0033614020573904e-05,1.4761903766350756e-06,1.4761903766350756e-06
0,1.904804379266355e-05,16,0.0,0.0001,,13,513,2.003329949936174e-05,1.4761884823107483e-06,1.4761884823107483e-06
0,1.904522603751758e-05,17,0.0,0.0001,,13,5013,2.003034438582363e-05,1.4761706018003878e-06,1.4761706018003878e-06
0,1.8233243825360215e-05,18,0.0,0.001,,13,13,1.9174429960894782e-05,1.3951178095315988e-06,1.3951178095315988e-06
0,1.8233227372971677e-05,19,0.0,0.001,,13,15,1.917441269059988e-05,1.395117616625509e-06,1.395117616625509e-06
0,1.8233161647576665e-05,20,0.0,0.001,,13,23,1.917434369787231e-05,1.395116845929596e-06,1.395116845929596e-06
0,1.823283502473995e-05,21,0.0,0.001,,13,63,1.9174000840606508e-05,1.3951130145851263e-06,1.3951130145851263e-06
0,1.822937409144372e-05,22,0.0,0.001,,13,513,1.9170368170061937e-05,1.395072296973722e-06,1.395072296973722e-06
0,1.820703161040924e-05,23,0.0,0.001,,13,5013,1.9146935729743692e-05,1.3948134060894322e-06,1.3948134060894322e-06
0,1.6946918797204904e-05,24,0.0,0.01,,13,13,1.7817991943988272e-05,1.2650096746395178e-06,1.2650096746395178e-06
0,1.6946717242662266e-05,25,0.0,0.01,,13,15,1.7817780122387576e-05,1.2650058759977127e-06,1.2650058759977127e-06
0,1.6945920478288644e-05,26,0.0,0.01,,13,23,1.7816942791852268e-05,1.2649908541394653e-06,1.2649908541394653e-06
0,1.6942147259122683e-05,27,0.0,0.01,,13,63,1.781297793248273e-05,1.2649196326498255e-06,1.2649196326498255e-06
0,1.6913552065943035e-05,28,0.0,0.01,,13,513,1.7782964169860996e-05,1.264393044869553e-06,1.264393044869553e-06
0,1.6826301426833578e-05,29,0.0,0.01,,13,5013,1.7691801631704854e-05,1.2634326823201277e-06,1.2634326823201277e-06
0,1.4690703964349934e-05,30,0.0,0.1,,13,13,1.5437557140130944e-05,1.0329674828291128e-06,1.0329674828291128e-06
0,1.468870931982202e-05,31,0.0,0.1,,13,15,1.5435460505682643e-05,1.0329108456943838e-06,1.0329108456943838e-06
0,1.4681277465409566e-05,32,0.0,0.1,,13,23,1.5427652073742116e-05,1.0327025142775533e-06,1.0327025142775533e-06
0,1.465224230887221e-05,33,0.0,0.1,,13,63,1.539719778088096e-05,1.0319528824981714e-06,1.0319528824981714e-06
0,1.4510660779530397e-05,34,0.0,0.1,,13,513,1.5249346045157499e-05,1.0297898056198029e-06,1.0297898056198029e-06
0,1.4333925673921016e-05,35,0.0,0.1,,13,5013,1.506506730560378e-05,1.0276663582310234e-06,1.0276663582310234e-06
0,1.367851048771881e-05,36,0.0,0.2,,13,13,1.4369373159865396e-05,9.28580283897791e-07,9.28580283897791e-07
0,1.3674916954365998e-05,37,0.0,0.2,,13,15,1.4365602429346146e-05,9.284700809801953e-07,9.284700809801953e-07
0,1.366171744322021e-05,38,0.0,0.2,,13,23,1.4351763490810086e-05,9.280846462911875e-07,9.280846462911875e-07
0,1.361082005545806e-05,39,0.0,0.2,,13,63,1.4298526489409184e-05,9.268980698336862e-07,9.268980698336862e-07
0,1.3393349547962034e-05,40,0.0,0.2,,13,513,1.4071683510632011e-05,9.241181642294771e-07,9.241181642294771e-07
0,1.3224246618698623e-05,41,0.0,0.2,,13,5013,1.3895325485094496e-05,9.214040651216523e-07,9.214040651216523e-07
0,1.2987751154975332e-05,42,0.0,0.3,,13,13,1.3640435731464151e-05,8.578399635506383e-07,8.578399635506383e-07
0,1.2982675313010216e-05,43,0.0,0.3,,13,15,1.3635119924273985e-05,8.576853248919733e-07,8.576853248919733e-07
0,1.2963960851670206e-05,44,0.0,0.3,,13,23,1.361553910438735e-05,8.571647599835192e-07,8.571647599835192e-07
0,1.2891294461266237e-05,45,0.0,0.3,,13,63,1.3539665551656539e-05,8.557282503098341e-07,8.557282503098341e-07
0,1.2623037944523668e-05,46,0.0,0.3,,13,513,1.325993956986718e-05,8.525631148004281e-07,8.525631148004281e-07
0,1.2467635397203878e-05,47,0.0,0.3,,13,5013,1.309783473215873e-05,8.495682080150763e-07,8.495682080150763e-07
