outer_resampling_id,resampling_id,gid,train_mse,test_mse
0,0,323,1.8368252185283687e-06,0.0001361529177467
0,1,323,1.6686537056242128e-06,0.0001956830020151
0,2,323,1.9806167698481666e-06,9.480166993062796e-05
0,3,323,2.2482468808481804e-06,1.5768500739563395e-06
0,4,323,2.2514803807039288e-06,3.488572584654575e-07
0,5,323,1.8413222634073663e-06,0.0001346712420128
0,6,323,2.251635677208179e-06,3.179488590136208e-07
0,7,323,2.2523305978994117e-06,8.17518484816908e-08
0,8,377,2.2074578577482053e-06,7.370951347597465e-05
0,9,323,2.200810962436129e-06,1.960668501289519e-05
0,10,323,2.1587271625946373e-06,3.598370503836654e-05
0,11,323,2.2476311458668888e-06,1.692454701734927e-06
0,12,323,2.199735519095005e-06,1.791361514469121e-05
0,13,323,2.2154104632564366e-06,1.2470109272272004e-05
0,14,323,2.174144808506132e-06,2.6120620073706916e-05
0,15,395,1.6062102350724505e-06,0.000489301610933
0,16,323,2.211952175548143e-06,1.754401736114397e-05
0,17,323,2.2498542661664955e-06,1.1679153388643565e-06
0,18,377,2.0808096932438607e-06,0.0001456560975417
1,0,323,1.8368252185283687e-06,7.087047114295227e-05
1,1,323,1.4591078760009984e-06,0.0001997202386705
1,2,323,1.77081808749141e-06,9.909251243981944e-05
1,3,323,2.0523117025485696e-06,9.476440866322256e-07
1,4,323,2.0538360501825613e-06,3.4454012555992945e-07
1,5,323,1.6381344355708876e-06,0.0001364936256565
1,6,323,2.054505361287066e-06,1.360472280242578e-07
1,7,323,2.054059484848428e-06,3.0346196620610925e-07
1,8,323,2.053496798198976e-06,5.23001913298936e-07
1,9,323,2.010524329061712e-06,1.6835901323687534e-05
1,10,323,1.971456877241557e-06,3.204576137100654e-05
1,11,323,2.051291114123808e-06,1.2403255180733374e-06
1,12,323,2.0060745014739745e-06,1.65642134635367e-05
1,13,323,2.020700249805924e-06,1.1483867471037216e-05
1,14,323,1.9802946388108703e-06,2.485769599197413e-05
1,15,407,1.6697780049823028e-06,0.0005566119756351
1,16,323,2.014088139310497e-06,1.763320887764469e-05
1,17,323,2.052127237072432e-06,1.1978951584373598e-06
1,18,323,1.929813271782774e-06,5.412748191924471e-05
2,0,323,1.6686537056242128e-06,7.211453110149031e-05
2,1,323,1.4591078760009984e-06,0.0001413424766532
2,2,323,1.5838231616525163e-06,0.0001071788953133
2,3,323,1.8899456247736748e-06,2.184522765126362e-07
2,4,323,1.8895006188575184e-06,3.368796750698518e-07
2,5,323,1.4637392001152072e-06,0.000139815683506
2,6,323,1.8905392706914051e-06,3.7138004617098847e-10
2,7,323,1.8876263730310304e-06,1.0556166907987649e-06
2,8,323,1.890460596520028e-06,2.984060314553798e-08
2,9,323,1.8579129672371997e-06,1.242815918778794e-05
2,10,323,1.824085311809426e-06,2.5632068311813425e-05
2,11,323,1.888779531464786e-06,6.061226624656292e-07
2,12,323,1.8484614460571884e-06,1.4291201497373922e-05
2,13,323,1.861304744706316e-06,9.825435488258553e-06
2,14,323,1.8224980981550807e-06,2.268605640008996e-05
2,15,323,1.6405668068035834e-06,0.0001082081098857
2,16,323,1.84935827200028e-06,1.7793480247175094e-05
2,17,323,1.8876417790113877e-06,1.2525145951021945e-06
2,18,323,1.7675645845679818e-06,5.321633550055609e-05
3,0,323,1.9806167698481666e-06,7.214981272674699e-05
3,1,323,1.77081808749141e-06,0.0001415150892946
3,2,323,1.5838231616525163e-06,0.0002078825407033
3,3,323,2.2020044449742127e-06,2.141471188999981e-07
3,4,323,2.201544919956356e-06,3.3677396626397253e-07
3,5,323,1.7754538528430562e-06,0.0001399857637808
3,6,323,2.2025837188217e-06,2.0792814785121762e-10
3,7,323,2.199618541757312e-06,1.0794957120800958e-06
3,8,323,2.2025110872506893e-06,2.7573337083612905e-08
3,9,323,2.169879991054003e-06,1.2545845795253895e-05
3,10,323,2.135847654853413e-06,2.5938802514501004e-05
3,11,323,2.200840348934261e-06,6.01831445248861e-07
3,12,323,2.1605154048200383e-06,1.431550250146409e-05
3,13,323,2.1733719936413824e-06,9.832311647590625e-06
3,14,323,2.134552999368093e-06,2.2708866058367644e-05
3,15,407,1.6625327708384432e-06,0.0005336764853047
3,16,323,2.161396794855212e-06,1.7795948743718338e-05
3,17,323,2.199683936857434e-06,1.2533127088182517e-06
3,18,323,2.079629546021416e-06,5.3210900790666526e-05
4,0,323,2.2482468808481804e-06,6.937353962330367e-05
4,1,323,2.0523117025485696e-06,0.0001342373450623
4,2,323,1.8899456247736748e-06,0.0001924195242587
4,3,323,2.2020044449742127e-06,9.138182481965652e-05
4,4,323,2.460545644518699e-06,3.543592492227623e-07
4,5,317,2.0493065038723584e-06,0.0002206380156607
4,6,323,2.4597185222370337e-06,6.682602233529028e-07
4,7,323,2.461632671473712e-06,2.43323409776423e-09
4,8,377,2.3679206771057586e-06,9.643944472579948e-05
4,9,377,2.397386191758947e-06,8.599399660834936e-05
4,10,323,2.3510813380199045e-06,4.33977072196578e-05
4,11,323,2.454697879328668e-06,2.4031463759156406e-06
4,12,323,2.403170140704508e-06,1.9945684981690804e-05
4,13,323,2.420389749014272e-06,1.3910423905623842e-05
4,14,317,2.285864868587112e-06,0.0001508003247678
4,15,413,1.7106968203539296e-06,0.000562900489888
4,16,323,2.421293898869168e-06,1.7432240369705956e-05
4,17,323,2.4590229145414404e-06,1.1306145843131648e-06
4,18,383,2.278263318344986e-06,0.0001714628350416
5,0,323,2.2514803807039288e-06,6.975903748657567e-05
5,1,323,2.0538360501825613e-06,0.0001350264434371
5,2,323,1.8895006188575184e-06,0.0001932294374211
5,3,323,2.201544919956356e-06,9.222077272350108e-05
5,4,323,2.460545644518699e-06,2.046428832599578e-06
5,5,317,2.055832674354928e-06,0.0002218717274293
5,6,323,2.4647830897049945e-06,4.686730015450882e-07
5,7,323,2.46610019399382e-06,1.4919306410066607e-08
5,8,323,2.462145576039693e-06,1.4876064391144722e-06
5,9,323,2.409535810763889e-06,2.143721598504865e-05
5,10,323,2.3655492792728685e-06,3.855603801760922e-05
5,11,323,2.4602969713569915e-06,2.0077212103669244e-06
5,12,323,2.410762787102881e-06,1.8778244458445537e-05
5,13,323,2.42710688314235e-06,1.3102520631564794e-05
5,14,317,2.311104719182534e-06,0.000144877657167
5,15,419,1.7601511464372557e-06,0.0005948599581372
5,16,323,2.4256641426340568e-06,1.748891976167678e-05
5,17,323,2.463481240180977e-06,1.14954558721726e-06
5,18,323,2.3391288809141136e-06,5.496014808139128e-05
6,0,323,1.8413222634073663e-06,7.086101375257656e-05
6,1,323,1.6381344355708876e-06,0.000137965999477
6,2,323,1.4637392001152072e-06,0.0001996650304328
6,3,323,1.7754538528430562e-06,9.903348956332476e-05
6,4,317,2.0493065038723584e-06,2.57621181793506e-06
6,5,317,2.055832674354928e-06,1.566544747372397e-07
6,6,317,1.910411893514567e-06,4.900565917495352e-05
6,7,317,1.856580321677317e-06,6.939640236247346e-05
6,8,317,1.9589758208484443e-06,3.492911686601482e-05
6,9,323,2.0148945184262733e-06,1.6872816056742164e-05
6,10,323,1.9757855701532966e-06,3.209886549497717e-05
6,11,317,1.957668463168194e-06,3.461099293573995e-05
6,12,317,1.7808548665786007e-06,9.552773144116088e-05
6,13,317,1.7811999020436843e-06,9.44548930678052e-05
6,14,317,1.6485758779564e-06,0.0001388180685816
6,15,431,1.2916540772723427e-06,0.0006655555036865
6,16,317,2.0094927678183297e-06,2.0229842550395757e-05
6,17,317,2.050078015847235e-06,2.6952799856367134e-06
6,18,323,1.934264969005166e-06,5.413452501683781e-05
7,0,323,2.251635677208179e-06,6.963422553772522e-05
7,1,323,2.054505361287066e-06,0.000134812816032
7,2,323,1.8905392706914051e-06,0.0001932195459168
7,3,323,2.2025837188217e-06,9.22169687474252e-05
7,4,323,2.4597185222370337e-06,2.2689244485445687e-06
7,5,323,2.4647830897049945e-06,3.525157791003463e-07
7,6,317,1.910411893514567e-06,0.0002248358250154
7,7,317,2.398062713202737e-06,7.042094869944683e-05
7,8,377,2.4496627329258595e-06,7.833746177923962e-05
7,9,323,2.4068034871293966e-06,2.261705048204668e-05
7,10,323,2.361526344479134e-06,4.047431066164153e-05
7,11,323,2.459651420257584e-06,2.1449444970780426e-06
7,12,317,2.3266136749406336e-06,9.511647189860564e-05
7,13,317,2.3268605254204447e-06,9.405042675526417e-05
7,14,317,2.1943744975670257e-06,0.0001384148991379
7,15,425,1.6136628670815815e-06,0.0006326326939434
7,16,323,2.4254391869653933e-06,1.7469430232148323e-05
7,17,323,2.4632259727263585e-06,1.1429973781857326e-06
7,18,383,2.2660721500152997e-06,0.0001795538092003
8,0,323,2.2523305978994117e-06,6.984549257803063e-05
8,1,323,2.054059484848428e-06,0.0001354607763483
8,2,323,1.8876263730310304e-06,0.0001949660916242
8,3,323,2.199618541757312e-06,9.406555285738696e-05
8,4,323,2.461632671473712e-06,2.0604385342090435e-06
8,5,323,2.46610019399382e-06,3.5129809584892305e-07
8,6,317,1.856580321677317e-06,0.0002267526740689
8,7,317,2.398062713202737e-06,5.189923295800421e-05
8,8,377,2.3999359659448708e-06,9.496606013272248e-05
8,9,323,2.409938002136465e-06,2.2104266410756564e-05
8,10,323,2.3651046462585138e-06,3.995761084273381e-05
8,11,323,2.4613879850860397e-06,2.004920104418771e-06
8,12,317,2.2901184237522782e-06,9.13139913733849e-05
8,13,317,2.289497315884162e-06,9.055186345649763e-05
8,14,317,2.1582911344609337e-06,0.0001345623448514
8,15,413,1.729255065339531e-06,0.0005648689909615
8,16,323,2.4266946001607595e-06,1.7494592125698553e-05
8,17,323,2.464520146319047e-06,1.151296150006426e-06
8,18,383,2.302855275681361e-06,0.0001720846162729
9,0,377,2.2074578577482053e-06,0.0001005165888496
9,1,323,2.053496798198976e-06,0.0001344025590707
9,2,323,1.890460596520028e-06,0.0001929190881448
9,3,323,2.2025110872506893e-06,9.1908963255161e-05
9,4,377,2.3679206771057586e-06,4.789199151665588e-05
9,5,323,2.462145576039693e-06,3.541016288414538e-07
9,6,317,1.9589758208484443e-06,0.0002260225808913
9,7,377,2.4496627329258595e-06,1.8914651740525428e-05
9,8,377,2.3999359659448708e-06,3.6542667452508766e-05
9,9,377,2.2459476695828594e-06,9.1131118253656e-05
9,10,377,2.227965482228742e-06,9.750575692919804e-05
9,11,377,2.398127363569548e-06,3.716259501164225e-05
9,12,317,2.3840104858369213e-06,9.367844437507678e-05
9,13,317,2.383920316608032e-06,9.26733047426184e-05
9,14,317,2.251917395772828e-06,0.0001369884362939
9,15,407,1.6061781398485023e-06,0.0005305215009281
9,16,323,2.422880765242068e-06,1.743759604448098e-05
9,17,323,2.460618026068724e-06,1.1323595405360134e-06
9,18,383,2.1530717969667343e-06,0.0001692184825063
10,0,323,2.200810962436129e-06,6.822745995511293e-05
10,1,323,2.010524329061712e-06,0.0001312773829577
10,2,323,1.8579129672371997e-06,0.000186297325864
10,3,323,2.169879991054003e-06,8.500403331537445e-05
10,4,377,2.397386191758947e-06,4.724280533794208e-05
10,5,323,2.409535810763889e-06,3.619008677149163e-07
10,6,323,2.0148945184262733e-06,0.0001298335749629
10,7,323,2.4068034871293966e-06,1.3427178348894282e-06
10,8,323,2.409938002136465e-06,2.629692188784039e-07
10,9,377,2.2459476695828594e-06,0.0001009273802581
10,10,377,2.2582153846776413e-06,9.657850714475266e-05
10,11,323,2.400469163831342e-06,3.5342061494530887e-06
10,12,323,2.34439972936679e-06,2.264359360461852e-05
10,13,323,2.363674392665705e-06,1.5865360951824997e-05
10,14,317,2.3114173782716813e-06,0.000145389506749
10,15,407,1.628415480420496e-06,0.0005316779840417
10,16,323,2.370659344299855e-06,1.7280254672360265e-05
10,17,323,2.4081515860253924e-06,1.080831763473893e-06
10,18,383,2.178689059023209e-06,0.0001696043913588
11,0,323,2.1587271625946373e-06,6.761575802296713e-05
11,1,323,1.971456877241557e-06,0.0001296873910459
11,2,323,1.824085311809426e-06,0.0001829666314829
11,3,323,2.135847654853413e-06,8.158259900706805e-05
11,4,323,2.3510813380199045e-06,5.84156945318708e-06
11,5,323,2.3655492792728685e-06,3.659639583904145e-07
11,6,323,1.9757855701532966e-06,0.0001282569813034
11,7,323,2.361526344479134e-06,1.7989547185126215e-06
11,8,323,2.3651046462585138e-06,5.800930772825095e-07
11,9,377,2.227965482228742e-06,0.0001014955570646
11,10,377,2.2582153846776413e-06,9.077204527579164e-05
11,11,323,2.35450992266547e-06,4.226820760334008e-06
11,12,323,2.2960840724459787e-06,2.4143478791213347e-05
11,13,323,2.3164955844125765e-06,1.6956359368863465e-05
11,14,323,2.271953263527733e-06,3.1715050337358566e-05
11,15,407,1.6152755474460276e-06,0.0005309839430772
11,16,323,2.326872896067262e-06,1.7199258616698748e-05
11,17,323,2.36423812065447e-06,1.054680291157268e-06
11,18,383,2.1635203112150653e-06,0.0001693727933027
12,0,323,2.2476311458668888e-06,6.947772838642734e-05
12,1,323,2.051291114123808e-06,0.0001343903505981
12,2,323,1.888779531464786e-06,0.000192274666584
12,3,323,2.200840348934261e-06,9.122553418991054e-05
12,4,323,2.454697879328668e-06,2.465703852936069e-06
12,5,323,2.4602969713569915e-06,3.5350593074008217e-07
12,6,317,1.957668463168194e-06,0.0002182404042239
12,7,323,2.459651420257584e-06,6.014822839022811e-07
12,8,323,2.4613879850860397e-06,9.367789912182656e-12
12,9,377,2.398127363569548e-06,7.572727336329386e-05
12,10,323,2.400469163831342e-06,2.3307641931646652e-05
12,11,323,2.35450992266547e-06,4.142177897924689e-05
12,12,317,2.304536462456379e-06,0.0001124810875713
12,13,317,2.308909980351492e-06,0.0001097576722969
12,14,317,2.171225739328229e-06,0.0001558242080068
12,15,425,1.5392629888177584e-06,0.0006365848597973
12,16,323,2.4210028807672806e-06,1.7449216009888326e-05
12,17,323,2.4587583906922827e-06,1.1363067280608118e-06
12,18,383,2.201499014096386e-06,0.0001807831939244
13,0,323,2.199735519095005e-06,6.894571481226314e-05
13,1,323,2.0060745014739745e-06,0.0001329592864448
13,2,323,1.8484614460571884e-06,0.0001890947837689
13,3,323,2.1605154048200383e-06,8.791330262989492e-05
13,4,323,2.403170140704508e-06,3.19862673560613e-06
13,5,323,2.410762787102881e-06,3.568962486117239e-07
13,6,317,1.7808548665786007e-06,0.0002162923180269
13,7,317,2.3266136749406336e-06,3.965467693337005e-05
13,8,317,2.2901184237522782e-06,5.385296382944772e-05
13,9,317,2.3840104858369213e-06,2.182006133536133e-05
13,10,323,2.34439972936679e-06,2.5751955086486903e-05
13,11,323,2.2960840724459787e-06,4.475862389267007e-05
13,12,317,2.304536462456379e-06,4.933330789180187e-05
13,13,317,2.113096936770071e-06,0.0001141808267092
13,14,317,1.9741119272299597e-06,0.000160634516701
13,15,413,1.7584544286638069e-06,0.0005734876969001
13,16,323,2.3716385434697086e-06,1.738031488663403e-05
13,17,323,2.4092871677362407e-06,1.1136177772895095e-06
13,18,323,2.283371012672385e-06,5.560510983583636e-05
14,0,323,2.2154104632564366e-06,6.915959278642335e-05
14,1,323,2.020700249805924e-06,0.0001335056784723
14,2,323,1.861304744706316e-06,0.0001901993644146
14,3,323,2.1733719936413824e-06,8.906008287561806e-05
14,4,323,2.420389749014272e-06,2.87099198781512e-06
14,5,323,2.42710688314235e-06,3.5548642449953986e-07
14,6,317,1.7811999020436843e-06,0.0002167347072891
14,7,317,2.3268605254204447e-06,4.014253854644197e-05
14,8,317,2.289497315884162e-06,5.463594316873002e-05
14,9,317,2.383920316608032e-06,2.2456455900616768e-05
14,10,323,2.363674392665705e-06,2.4587446464276712e-05
14,11,323,2.3164955844125765e-06,4.310049333413062e-05
14,12,317,2.308909980351492e-06,4.836261942166296e-05
14,13,317,2.113096936770071e-06,0.0001159325979447
14,14,317,1.9797146477940275e-06,0.0001592301785232
14,15,431,1.682114340426922e-06,0.0006270342489418
14,16,323,2.387912255413995e-06,1.7408817561887435e-05
14,17,323,2.4256051924346104e-06,1.1230004729856926e-06
14,18,323,2.300100152021384e-06,5.543563242814239e-05
15,0,323,2.174144808506132e-06,6.898985926742769e-05
15,1,323,1.9802946388108703e-06,0.0001330430869687
15,2,323,1.8224980981550807e-06,0.0001891493380566
15,3,323,2.134552999368093e-06,8.797123042370108e-05
15,4,317,2.285864868587112e-06,9.522364277887904e-06
15,5,317,2.311104719182534e-06,1.667317614858539e-07
15,6,317,1.6485758779564e-06,0.0002161047219586
15,7,317,2.1943744975670257e-06,3.944409701841392e-05
15,8,317,2.1582911344609337e-06,5.344484165145208e-05
15,9,317,2.251917395772828e-06,2.152630162943798e-05
15,10,317,2.3114173782716813e-06,7.463190304002517e-08
15,11,323,2.271953263527733e-06,4.410068602613767e-05
15,12,317,2.171225739328229e-06,4.944038537268483e-05
15,13,317,1.9741119272299597e-06,0.0001174129813005
15,14,317,1.9797146477940275e-06,0.000114255705943
15,15,431,1.6737482165040347e-06,0.0006285038396199
15,16,317,2.265715945455833e-06,1.983244060039896e-05
15,17,317,2.305773865078549e-06,2.525624193180461e-06
15,18,317,2.2185037509490147e-06,4.027019279993388e-05
16,0,395,1.6062102350724505e-06,6.241620680628224e-05
16,1,407,1.6697780049823028e-06,3.243981940407422e-05
16,2,323,1.6405668068035834e-06,0.0001911624192697
16,3,407,1.6625327708384432e-06,3.595205270321165e-05
16,4,413,1.7106968203539296e-06,1.7600271347364257e-05
16,5,419,1.7601511464372557e-06,4.082919869824667e-11
16,6,431,1.2916540772723427e-06,0.0001681589909778
16,7,425,1.6136628670815815e-06,5.268459883625608e-05
16,8,413,1.729255065339531e-06,1.1022537504073882e-05
16,9,407,1.6061781398485023e-06,5.592399412196927e-05
16,10,407,1.628415480420496e-06,4.804655172711646e-05
16,11,407,1.6152755474460276e-06,5.2701292915412685e-05
16,12,425,1.5392629888177584e-06,7.899260787039236e-05
16,13,413,1.7584544286638069e-06,6.363457130509214e-07
16,14,431,1.682114340426922e-06,2.7415310554904767e-05
16,15,431,1.6737482165040347e-06,2.995213745215579e-05
16,16,419,1.7195530044328192e-06,1.9810995505769533e-05
16,17,413,1.7271320306837158e-06,1.6147047108410542e-05
16,18,419,1.6145999906995344e-06,7.094709627124084e-05
17,0,323,2.211952175548143e-06,6.980291330498412e-05
17,1,323,2.014088139310497e-06,0.0001351427717945
17,2,323,1.84935827200028e-06,0.000193481303475
17,3,323,2.161396794855212e-06,9.24847678861188e-05
17,4,323,2.421293898869168e-06,1.994704582538921e-06
17,5,323,2.4256641426340568e-06,3.512639394727016e-07
17,6,317,2.0094927678183297e-06,0.0002219643747972
17,7,323,2.4254391869653933e-06,4.5164318616911204e-07
17,8,323,2.4266946001607595e-06,1.9364980235570413e-08
17,9,323,2.422880765242068e-06,1.4398099715034976e-06
