outer_resampling_id,train_mse
0,1.3599337725203384e-05
1,1.2734681120701651e-05
2,1.1248637998039837e-05
3,1.093033789799504e-05
4,1.2457007228006145e-05
5,1.4161628983977661e-05
6,1.3544542981858846e-05
7,1.3860779454792927e-05
8,1.383485390304522e-05
9,1.4095207678513097e-05
10,1.4014751779685379e-05
11,1.2402379225608341e-05
12,1.2935607427543385e-05
13,1.3983324030435443e-05
14,1.4154511243066606e-05
15,1.37120305007902e-05
16,1.4103997758155231e-05
17,1.409264462652198e-05
18,1.4140802823674307e-05
19,1.4146679621005423e-05
