Parameter;Value;Error
epsilon;2,00E-04;9,00E-05
m;0,028;0,003
lambda_R;0,97;0,01
lambda_N;0,7;0,05
beta_1;4,7;0,2
beta_2;1,5;0,2
beta_N1;0,145;0,006
beta_N2;0,22;0,015
T_PS;10;1
mu_R;0,94;0,01
mu_N;0,8;0,05
Q_N0;0,5;0,3
rho_b;0,06;0,02
delta rho;0,45;0,05
w_scale;5,8;0,2
w_0;0,75;0,05
w_11;0,2;0,05
w_12;0,15;0,05
