,time_step,stimulus,type,familiarity,novelty,n_fam,steady
0,0,0,fam,0.001949317738791423,6.240275845170769,1,5.047070780799186
1,1,1,fam,0.001941747572815534,6.244166900663736,1,5.047070780799186
2,2,2,fam,0.0019349845201238392,6.247655952468392,1,5.047070780799186
3,3,0,fam,0.005053817368157094,5.287611406767774,1,5.047070780799186
4,4,1,fam,0.005039643916457322,5.290419850891357,1,5.047070780799186
5,5,2,fam,0.005026955610447012,5.292940724538055,1,5.047070780799186
6,6,0,fam,0.007276396833378136,4.923119479767043,1,5.047070780799186
7,7,1,fam,0.007261621426539872,4.925152138092462,1,5.047070780799186
8,8,3,nov,0.001906975246296904,6.262236932890207,1,5.047070780799186
9,9,0,fam,0.008875583638018825,4.724451183752595,1,5.047070780799186
10,10,1,fam,0.008862509835071811,4.725925277384387,1,5.047070780799186
11,11,2,fam,0.005775160508885889,5.154189229214045,1,5.047070780799186
12,12,0,fam,0.010030381106781087,4.602136681042104,1,5.047070780799186
13,13,1,fam,0.010019648814345373,4.603207232408156,1,5.047070780799186
14,14,2,fam,0.0077751022368058205,4.856828671574891,1,5.047070780799186
0,0,0,fam,0.001949317738791423,6.240275845170769,3,4.6441980065938635
1,1,1,fam,0.001941747572815534,6.244166900663736,3,4.6441980065938635
2,2,2,fam,0.0019349845201238392,6.247655952468392,3,4.6441980065938635
3,3,0,fam,0.005053817368157094,5.287611406767774,3,4.6441980065938635
4,4,1,fam,0.005039643916457322,5.290419850891357,3,4.6441980065938635
5,5,2,fam,0.005026955610447012,5.292940724538055,3,4.6441980065938635
6,6,0,fam,0.007276396833378136,4.923119479767043,3,4.6441980065938635
7,7,1,fam,0.007261621426539872,4.925152138092462,3,4.6441980065938635
8,8,2,fam,0.007248374771669606,4.926978004670157,3,4.6441980065938635
9,9,0,fam,0.008875583638018825,4.724451183752595,3,4.6441980065938635
10,10,1,fam,0.008862509835071811,4.725925277384387,3,4.6441980065938635
11,11,2,fam,0.008850776299679616,4.727250106331329,3,4.6441980065938635
12,12,0,fam,0.010030381106781087,4.602136681042104,3,4.6441980065938635
13,13,1,fam,0.010019648814345373,4.603207232408156,3,4.6441980065938635
14,14,3,nov,0.0018924174261524358,6.26990020575653,3,4.6441980065938635
15,15,0,fam,0.01086644948027407,4.522075265955164,3,4.6441980065938635
16,16,1,fam,0.010857995555778353,4.522853552802852,3,4.6441980065938635
17,17,2,fam,0.007791858743126967,4.854675841255023,3,4.6441980065938635
18,18,0,fam,0.011472899641694062,4.46776757754985,3,4.6441980065938635
19,19,1,fam,0.011466405105699228,4.468333814080545,3,4.6441980065938635
20,20,2,fam,0.009234689584596821,4.6847882788252795,3,4.6441980065938635
0,0,0,fam,0.001949317738791423,6.240275845170769,8,4.391247327335536
1,1,1,fam,0.001941747572815534,6.244166900663736,8,4.391247327335536
2,2,2,fam,0.0019349845201238392,6.247655952468392,8,4.391247327335536
3,3,0,fam,0.005053817368157094,5.287611406767774,8,4.391247327335536
4,4,1,fam,0.005039643916457322,5.290419850891357,8,4.391247327335536
5,5,2,fam,0.005026955610447012,5.292940724538055,8,4.391247327335536
6,6,0,fam,0.007276396833378136,4.923119479767043,8,4.391247327335536
7,7,1,fam,0.007261621426539872,4.925152138092462,8,4.391247327335536
8,8,2,fam,0.007248374771669606,4.926978004670157,8,4.391247327335536
9,9,0,fam,0.008875583638018825,4.724451183752595,8,4.391247327335536
10,10,1,fam,0.008862509835071811,4.725925277384387,8,4.391247327335536
11,11,2,fam,0.008850776299679616,4.727250106331329,8,4.391247327335536
12,12,0,fam,0.010030381106781087,4.602136681042104,8,4.391247327335536
13,13,1,fam,0.010019648814345373,4.603207232408156,8,4.391247327335536
14,14,2,fam,0.010010009368743326,4.604169749717052,8,4.391247327335536
15,15,0,fam,0.01086644948027407,4.522075265955164,8,4.391247327335536
16,16,1,fam,0.010857995555778353,4.522853552802852,8,4.391247327335536
17,17,2,fam,0.010850398262564592,4.523553493442174,8,4.391247327335536
18,18,0,fam,0.011472899641694062,4.46776757754985,8,4.391247327335536
19,19,1,fam,0.011466405105699228,4.468333814080545,8,4.391247327335536
20,20,2,fam,0.011460566306751062,4.468843152969607,8,4.391247327335536
21,21,0,fam,0.011913394815780558,4.430091897122498,8,4.391247327335536
22,22,1,fam,0.011908485298453448,4.430504082674022,8,4.391247327335536
23,23,2,fam,0.01190407019127419,4.430874904464381,8,4.391247327335536
24,24,0,fam,0.012233665829318308,4.40356363345077,8,4.391247327335536
25,25,1,fam,0.012229994265275403,4.40386379818951,8,4.391247327335536
26,26,2,fam,0.012226691741391809,4.404133869441418,8,4.391247327335536
