resampling_id,coef,shift
0,0.029541866805660497,0.02211968136050298
1,0.029448501550905604,0.022167175860866833
2,0.0297848402473605,0.021996081823978123
3,0.02985188088793419,0.021961978540733392
4,0.02918239684087988,0.022302542173317022
5,0.029297597374598194,0.02224394016119844
6,0.029603226100341364,0.02208846815328582
7,0.029456000775377696,0.022163361037886353
8,0.029744397298344074,0.02201665497682625
9,0.029738361712028094,0.02201972525342146
10,0.02958249983496637,0.02209901151463559
11,0.029538066963497287,0.022121614323739432
12,0.02890250867397721,0.022444920070530477
13,0.029881318257010826,0.02194700387869246
14,0.029583084321310727,0.022098714188965893
15,0.029824849044871628,0.021975729522118737
16,0.02532782068781047,0.022354855229231228
17,0.030933368892170993,0.022007786165984197
18,0.029950508834188684,0.02202811128019034
19,0.03177157262684362,0.022168085779266922
