outer_resampling_id,train_mse
0,3.722372878650501e-06
1,3.7034370761296657e-06
2,3.6888953299917907e-06
3,3.663859942474724e-06
4,3.6493025667668263e-06
5,3.7943271641941883e-06
6,3.430899811697739e-06
7,3.7675474338063427e-06
8,3.6323501108556843e-06
9,3.6825637941549506e-06
10,3.759713912034184e-06
11,3.7741149435758914e-06
12,3.391409470686229e-06
13,3.8089808658169648e-06
14,3.7533507853426617e-06
15,3.824137781805209e-06
16,1.5468989055020522e-06
17,4.283399796098755e-06
18,4.5790168018866385e-06
19,3.4213602118430012e-06
