exp_id,id_in_exp,yres,ypred,w
0,0,2.7439213917510085e-06,0.016556478611920784,0.05
0,1,5.07975102708101e-06,0.026153830301305095,0.05
0,2,1.433478745291022e-07,0.03492138690655353,0.05
0,3,2.170033982733785e-07,0.04033416376453374,0.05
0,4,1.0644400039309716e-05,0.04256257567564489,0.05
1,0,2.6894885414046634e-10,-1.6399660183688756e-05,0.05
1,1,4.226150136288419e-05,0.017299115339979937,0.05
1,2,3.210760157624383e-06,0.027208140586534653,0.05
1,3,1.8072560900062916e-05,0.03424881652947524,0.05
1,4,1.2317626396138903e-05,0.03869035238291094,0.05
1,5,3.954628706456795e-06,0.039711375172020426,0.05
1,6,2.3601145724188294e-06,0.04046373356073277,0.05
2,0,3.246203363176367e-05,0.0329975462816693,0.05
2,1,3.04677459581509e-08,0.02137455012448621,0.05
2,2,7.486753337942445e-06,0.021636193220140428,0.05
2,3,3.104598500596724e-07,0.015357189240796763,0.05
3,0,0.00012825753419100456,0.06497491570932011,0.05
3,1,1.2195168075561858e-05,0.07209215808284244,0.05
3,2,5.789202186392561e-07,0.07626086806914159,0.05
3,3,5.0014006317094836e-05,0.0787720581386959,0.05
