n_im,nt_norm,sample_id
3,1.7902239880082575,0
6,0.3953731222327215,0
9,0.08376908357903945,0
12,-0.5615477054820599,0
3,1.1608652624310896,1
6,0.5053478202124477,1
9,1.3766498929366984,1
12,0.5983003548142332,1
3,0.4419345062592377,2
6,0.641454544947968,2
9,0.8062483679594221,2
12,0.9010279902393701,2
3,1.068183097002154,3
6,0.9304976916371523,3
9,0.18102068126335213,3
12,-0.001233494449256689,3
3,0.6738914862497463,4
6,0.060560217265326344,4
9,1.4481624188786708,4
12,1.7533245702357205,4
3,1.9475443407847537,5
6,0.009408618287539694,5
9,0.07880771082587534,5
12,-0.09226447822486561,5
3,2.0982773982230416,6
6,0.9592530977676996,6
9,1.1203646067310218,6
12,0.828612161910323,6
3,3.326608422923393,7
6,0.41244018361638735,7
9,-0.17863378648838957,7
12,0.021074785829916287,7
3,0.6874827883866763,8
6,0.7743484740109801,8
9,0.24868301678780935,8
12,-0.4992186454405121,8
3,0.6959420306204156,9
6,-0.09255310585291388,9
9,0.33083777463556996,9
12,-0.04895931645155338,9
3,-0.127752167588163,10
6,-0.23128427926446427,10
9,-0.3239933063976179,10
12,-0.39542859747415227,10
3,2.3059724357739517,11
6,0.8410723470324684,11
9,0.948811874866079,11
12,1.5099994155664733,11
3,0.9906816145836055,12
6,0.3174230018555151,12
9,0.29262161843978207,12
12,1.1469119875491414,12
3,0.867721908579548,13
6,1.3337416606369246,13
9,0.8665377297854673,13
12,1.371665284287685,13
3,1.631681372600124,14
6,1.6610231985795714,14
9,1.8449305061791241,14
12,0.8474033983481277,14
3,2.802713363641601,15
6,-0.132626221349478,15
9,0.15998503791957663,15
12,0.8459444475271649,15
3,0.880094496309296,16
6,0.46444825718922145,16
9,0.272728657483581,16
12,0.49403915168633805,16
3,0.5615090491437267,17
6,1.6590566893981709,17
9,2.414861511974693,17
12,3.14617740606377,17
3,0.04093506387535095,18
6,0.801223806686473,18
9,1.000813966144976,18
12,0.4100304553344971,18
3,1.4223700313878422,19
6,1.0083857544437531,19
9,0.8302564779775607,19
12,0.23586492681641458,19
3,1.0184730126217756,20
6,1.3516632481368205,20
9,1.543108055653947,20
12,1.2275516287020873,20
3,2.0551898805782116,21
6,-0.0560920550536137,21
9,0.18946505768003608,21
12,0.6275334357121274,21
3,0.7094837883182239,22
6,0.8537829628578208,22
9,1.8953629077820868,22
12,0.3556160517481741,22
3,2.116680101523823,23
6,0.7037621642657523,23
9,0.671881401336957,23
12,0.15269845124320813,23
3,1.6480139101571005,24
6,0.4860517503575723,24
9,0.7892445440313041,24
12,0.6885844157895971,24
3,1.5348084360936598,25
6,1.5829086799131762,25
9,0.5394679217335572,25
12,0.07517617522031328,25
3,1.3799885632355862,26
6,1.2037801573261182,26
9,2.8833124425105474,26
12,1.5031180478222939,26
3,0.9793035749290921,27
6,0.41401158625004575,27
9,0.784633459588616,27
12,0.6843678814779999,27
3,-0.15520044986684023,28
6,0.6385602353350093,28
9,1.8196374257081698,28
12,0.17157204763443357,28
3,1.6478700856933852,29
6,0.5308943996224775,29
9,0.5490684855066665,29
12,-0.31461456502739793,29
3,1.8701299958098965,30
6,2.506292172661391,30
9,0.9425424114007517,30
12,1.2333674902404645,30
3,0.9754777353726505,31
6,1.5293448677503267,31
9,0.9295676678208569,31
12,1.094417665434087,31
3,1.3158976966055518,32
6,0.49751147183941,32
9,0.15108066728219072,32
12,0.1455010562127903,32
3,1.0046331460338491,33
6,0.7426608727725641,33
9,0.5435761109335933,33
12,-0.03821325748904281,33
3,2.1887908068910336,34
6,1.5099435321129901,34
9,3.083222475307172,34
12,1.9238864127372874,34
3,2.009061625586593,35
6,0.3764316467969848,35
9,1.0289449267172048,35
12,0.45743757525299467,35
3,1.7858248163648949,36
6,2.1400182664774725,36
9,2.984892987583705,36
12,1.3319866397660194,36
3,1.416610661529773,37
6,1.693452296837802,37
9,1.0082537869642798,37
12,1.2941537744872091,37
3,0.9010510210995561,38
6,2.1214283863116874,38
9,0.9639816468491835,38
12,0.3268377627039558,38
3,2.9139056804049543,39
6,5.623633128516703,39
9,1.8113854277814538,39
12,1.6926375582025637,39
3,1.9187174904186775,40
6,1.1124193866435437,40
9,3.726812485925307,40
12,2.958199304764817,40
3,1.473679177472686,41
6,0.7489300392968317,41
9,0.4778730854467197,41
12,1.5176614484159847,41
3,1.128233917628512,42
6,-0.24717010333632983,42
9,0.475646994513546,42
12,-0.08248195289653992,42
3,1.2526347022330524,43
6,0.5004019041056413,43
9,1.4130930617621908,43
12,0.2515470770534174,43
3,2.0454191389243346,44
6,0.37588732608366504,44
9,0.2968925416016779,44
12,0.3439221732711375,44
3,1.6232186475488912,45
6,0.6221659791785654,45
9,0.7906446952229405,45
12,0.4060192340120352,45
3,1.2133469985835854,46
6,0.8874151424954224,46
9,0.35927349676664244,46
12,-0.1727376440522801,46
3,0.6376719568014848,47
6,0.11766456992934438,47
9,-0.10087206010315453,47
12,0.13823392926005784,47
3,2.8080396929206186,48
6,1.3699829832185202,48
9,0.9372416783544568,48
12,0.7385094193278343,48
3,4.479581437211617,49
6,3.1361356214832794,49
9,0.6798929159227143,49
12,0.80633218405666,49
