resampling_id,shift,coef
0,0.028611673843125348,0.022592866488242058
1,0.02851097490481635,0.02264409160163904
2,0.02873765385715853,0.02252878100121537
3,0.028757565068920524,0.02251865225410536
4,0.02822443121981079,0.022789855132060353
5,0.028694805448931122,0.022550577800736663
6,0.029036282242626794,0.02237687003605476
7,0.028847453203758998,0.02247292654956999
8,0.029165047139982508,0.022311367890954097
9,0.029143969840974622,0.022322089821591236
10,0.028957595740187504,0.022416897518746745
11,0.028902605343107967,0.022444870895362696
12,0.02809130213837234,0.02285757731868554
13,0.028683353888910412,0.022556403159677735
14,0.028512943389564192,0.022643090241981034
15,0.028668936280529283,0.022563737334562163
16,0.024533960800912483,0.022735639000002677
17,0.02987187447230006,0.02254400256864996
18,0.028938890002129028,0.022555550820664124
19,0.03089742622281451,0.022632844353732456
