outer_resampling_id,train_mse
0,9.514840099050204e-07
1,9.440465060475497e-07
2,9.590925380414245e-07
3,9.587812931070288e-07
4,9.242409255233244e-07
5,9.597022668578786e-07
6,8.337730397606202e-07
7,9.497899522587203e-07
8,9.025817929225554e-07
9,9.198365628126459e-07
10,9.467055173616982e-07
11,9.518268299709442e-07
12,8.574993308797167e-07
13,9.59550150329005e-07
14,9.370401834776482e-07
15,9.5874583711445e-07
16,4.6566399693459386e-07
17,9.082743182155901e-07
18,9.523148355367478e-07
19,7.644570322230296e-07
