Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
0,8,2,0.8,8,0.0,0.1,2.6666666666666665,0,,0,0.006716204048194919,0.023294242046590707,0.0004112024037984217,2.0560120189921085e-05,0.04695053156704552
1,8,2,0.8,8,0.0,0.01,2.6666666666666665,1,,1,0.004753140989638933,0.04548575103668416,0.00035295799231606335,1.7647899615803166e-05,0.0403002638287105
2,8,2,0.8,8,0.0,0.001,2.6666666666666665,2,,2,0.003577880228412606,0.05430435775786705,0.0003431490102603041,1.7157450513015204e-05,0.03918028758976985
3,8,2,0.8,8,0.0,0.0001,2.6666666666666665,3,,3,0.0028098968316173207,0.05855927112806813,0.0003595934743804214,1.797967371902107e-05,0.04105789415199511
4,8,2,0.8,8,0.0,1e-05,2.6666666666666665,4,,4,0.0023057428798751254,0.061175439156418286,0.0003739544946059032,1.869772473029516e-05,0.042697615922109064
5,8,2,0.8,8,0.0,1e-06,2.6666666666666665,5,,5,0.0019528489604599695,0.06299066862161644,0.00038461537707337815,1.9230768853668906e-05,0.04391486099217221
6,8,2,0.8,8,0.01,0.1,2.6666666666666665,6,,6,0.00874396949039986,0.00434279655951865,0.00012867418248804156,6.433709124402078e-06,0.014691843264929278
7,8,2,0.8,8,0.01,0.01,2.6666666666666665,7,,7,0.005581269365980128,0.0392804833301635,0.00017852191212269878,8.92609560613494e-06,0.020383389282507564
8,8,2,0.8,8,0.01,0.001,2.6666666666666665,8,,0,0.00405814393015704,0.05156392854513981,0.00021844328905260742,1.0922164452630372e-05,0.024941557839971606
9,8,2,0.8,8,0.01,0.0001,2.6666666666666665,9,,1,0.0031553298360287967,0.056731128371285924,0.00025728618462196666,1.2864309231098333e-05,0.02937658686153992
10,8,2,0.8,8,0.01,1e-05,2.6666666666666665,10,,2,0.0025662922520951308,0.05980753502806805,0.00028716141487380043,1.4358070743690022e-05,0.032787700045837066
11,8,2,0.8,8,0.01,1e-06,2.6666666666666665,11,,3,0.0021549009665407736,0.061929269328921684,0.00030951482289604107,1.5475741144802055e-05,0.035339981791480124
12,8,2,0.8,8,0.1,0.1,2.6666666666666665,12,,4,0.012319840902453222,-0.045788791293953024,6.766534856793069e-05,3.3832674283965345e-06,0.007725937530003228
13,8,2,0.8,8,0.1,0.01,2.6666666666666665,13,,5,0.00673483122847269,0.021355267893318364,5.60372800502304e-05,2.80186400251152e-06,0.00639826047130664
14,8,2,0.8,8,0.1,0.001,2.6666666666666665,14,,6,0.004551141249308419,0.04549148844367186,5.780851053030529e-05,2.8904255265152645e-06,0.006600497160098069
15,8,2,0.8,8,0.1,0.0001,2.6666666666666665,15,,7,0.003457165548741535,0.053974803712014276,5.958856082015002e-05,2.9794280410075007e-06,0.006803740882781298
16,8,2,0.8,8,0.1,1e-05,2.6666666666666665,16,,0,0.002800907062872112,0.057799519832198734,6.137775545641394e-05,3.068887772820697e-06,0.007008028694509845
17,8,2,0.8,8,0.1,1e-06,2.6666666666666665,17,,1,0.002356397397250156,0.06023424652869498,6.346107695932796e-05,3.173053847966398e-06,0.0072458995121007334
18,8,2,0.8,8,0.2,0.1,2.6666666666666665,18,,2,0.01580350725407364,-0.09019739365240059,0.00010809491431170652,5.404745715585326e-06,0.012342130395513844
19,8,2,0.8,8,0.2,0.01,2.6666666666666665,19,,3,0.007973781517984457,0.0037284032044711778,6.700977497062189e-05,3.3504887485310945e-06,0.007651085027705949
20,8,2,0.8,8,0.2,0.001,2.6666666666666665,20,,4,0.005106680104017158,0.03790777112277631,6.03079696894301e-05,3.015398484471505e-06,0.006885882009668545
21,8,2,0.8,8,0.2,0.0001,2.6666666666666665,21,,5,0.0037284013854917393,0.05050599124025142,6.11488077199867e-05,3.057440385999335e-06,0.006981887753146087
22,8,2,0.8,8,0.2,1e-05,2.6666666666666665,22,,6,0.0029352086851191558,0.05571283063729726,6.271514438931283e-05,3.1357572194656416e-06,0.00716072994511408
23,8,2,0.8,8,0.2,1e-06,2.6666666666666665,23,,7,0.00242353261407591,0.058768044248513694,6.379766835524235e-05,3.1898834177621175e-06,0.007284331060197474
24,8,2,0.8,8,0.3,0.1,2.6666666666666665,24,,0,0.018978236644391324,-0.1293962529834456,0.00014919129626708805,7.459564813354403e-06,0.017034459429741407
25,8,2,0.8,8,0.3,0.01,2.6666666666666665,25,,1,0.009082850619948138,-0.012769715267345048,8.50431869598924e-05,4.25215934799462e-06,0.009710115497962727
26,8,2,0.8,8,0.3,0.001,2.6666666666666665,26,,2,0.005620208428851827,0.02967439670899308,6.516614191815714e-05,3.258307095907857e-06,0.007440581511607274
27,8,2,0.8,8,0.3,0.0001,2.6666666666666665,27,,3,0.004016234477430306,0.04613079322976736,6.049133593062689e-05,3.0245667965313447e-06,0.00690681851786041
28,8,2,0.8,8,0.3,1e-05,2.6666666666666665,28,,4,0.003114520585587109,0.05279879524577945,6.050211179122521e-05,3.0251055895612604e-06,0.0069080488909771766
29,8,2,0.8,8,0.3,1e-06,2.6666666666666665,29,,5,0.002542237858923714,0.05657316104950112,6.157371050547889e-05,3.0786855252739446e-06,0.007030402575673623
30,8,2,0.8,8,0.4,0.1,2.6666666666666665,30,,6,0.022137509662084807,-0.16717740386731417,0.0001909690071725152,9.548450358625759e-06,0.02180458167743554
31,8,2,0.8,8,0.4,0.01,2.6666666666666665,31,,7,0.010239071358178697,-0.029281393242965588,0.00010686898720475007,5.343449360237504e-06,0.012202155704698877
32,8,2,0.8,8,0.4,0.001,2.6666666666666665,32,,0,0.006106433168077203,0.020799022156628336,7.823110582422981e-05,3.91155529121149e-06,0.008932321332746738
33,8,2,0.8,8,0.4,0.0001,2.6666666666666665,33,,1,0.0042996136476668384,0.04078799995376832,6.40902239175561e-05,3.2045111958778053e-06,0.00731773465666638
34,8,2,0.8,8,0.4,1e-05,2.6666666666666665,34,,2,0.0032958462150172174,0.04913317700102472,5.986016238813068e-05,2.9930081194065338e-06,0.00683475198065753
35,8,2,0.8,8,0.4,1e-06,2.6666666666666665,35,,3,0.0026658076103630753,0.05377814682742073,5.938851244069701e-05,2.96942562203485e-06,0.006780899630717389
