,subID,var_name,mle_ll,mle_var,opt_success,opt_it,opt_time
0,-1,gamma,6635.64491396244,0.9124926950999315,False,400,30317.10474427417
1,-1,c_alph,6635.64491396244,0.5,False,400,30317.10474427417
2,-1,a_alph,6635.64491396244,0.011344868429328903,False,400,30317.10474427417
3,-1,c_lam,6635.64491396244,0.8307620739491677,False,400,30317.10474427417
4,-1,a_lam,6635.64491396244,0.04155299237408708,False,400,30317.10474427417
5,-1,temp,6635.64491396244,1.0,False,400,30317.10474427417
6,-1,c_w0,6635.64491396244,-0.010538601564624023,False,400,30317.10474427417
7,-1,a_w0,6635.64491396244,0.020205166164716053,False,400,30317.10474427417
8,-1,lambda_N,6635.64491396244,0.07692498127060915,False,400,30317.10474427417
9,-1,beta_1,6635.64491396244,7.930257501330901,False,400,30317.10474427417
10,-1,epsilon,6635.64491396244,0.0008115003269629369,False,400,30317.10474427417
11,-1,k_leak,6635.64491396244,0.019134542787879308,False,400,30317.10474427417
12,-1,w_mf,6635.64491396244,0.9271045719382147,False,400,30317.10474427417
13,-1,w_mb,6635.64491396244,0.024219493594315106,False,400,30317.10474427417
