subID,var_name,mle_ll,mle_var,opt_success,opt_it,opt_time,cvID,ll_per_mouse
-1,lambda_N,5260.341865874355,0.5339261103627033,True,198,3693.550014367909,0,328.7713666171472
-1,beta_1,5260.341865874355,1.0311842061421514,True,198,3693.550014367909,0,328.7713666171472
-1,epsilon,5260.341865874355,1.1599724787638207e-06,True,198,3693.550014367909,0,328.7713666171472
-1,k_leak,5260.341865874355,0.7855741968794602,True,198,3693.550014367909,0,328.7713666171472
-1,alph_leak,5260.341865874355,0.4992474915221656,True,198,3693.550014367909,0,328.7713666171472
-1,eps_leak,5260.341865874355,0.0001304021213826832,True,198,3693.550014367909,0,328.7713666171472
-1,lambda_N,5206.425318355563,0.5379715420390173,True,186,3604.519588810974,1,325.4015823972227
-1,beta_1,5206.425318355563,0.9725764060652347,True,186,3604.519588810974,1,325.4015823972227
-1,epsilon,5206.425318355563,3.681319133365084e-05,True,186,3604.519588810974,1,325.4015823972227
-1,k_leak,5206.425318355563,0.9790556078728125,True,186,3604.519588810974,1,325.4015823972227
-1,alph_leak,5206.425318355563,0.4978142528118124,True,186,3604.519588810974,1,325.4015823972227
-1,eps_leak,5206.425318355563,0.00010558735708174677,True,186,3604.519588810974,1,325.4015823972227
-1,lambda_N,5431.557924686885,0.5357247040192145,True,195,3747.568092542002,2,339.4723702929303
-1,beta_1,5431.557924686885,1.005978015266519,True,195,3747.568092542002,2,339.4723702929303
-1,epsilon,5431.557924686885,4.952178978356347e-06,True,195,3747.568092542002,2,339.4723702929303
-1,k_leak,5431.557924686885,0.9989554150682407,True,195,3747.568092542002,2,339.4723702929303
-1,alph_leak,5431.557924686885,0.49820836610163005,True,195,3747.568092542002,2,339.4723702929303
-1,eps_leak,5431.557924686885,0.00013117971445471619,True,195,3747.568092542002,2,339.4723702929303
-1,lambda_N,5752.575160983102,0.5363248884391655,True,196,3620.4135596179403,3,359.5359475614439
-1,beta_1,5752.575160983102,1.0045690732094867,True,196,3620.4135596179403,3,359.5359475614439
-1,epsilon,5752.575160983102,1.3372047471351021e-05,True,196,3620.4135596179403,3,359.5359475614439
-1,k_leak,5752.575160983102,0.9984674379220727,True,196,3620.4135596179403,3,359.5359475614439
-1,alph_leak,5752.575160983102,0.5010039308918077,True,196,3620.4135596179403,3,359.5359475614439
-1,eps_leak,5752.575160983102,0.00011445437728247696,True,196,3620.4135596179403,3,359.5359475614439
-1,lambda_N,3969.7724428908814,0.5483422941168555,True,231,2371.4101558829425,4,248.1107776806801
-1,beta_1,3969.7724428908814,1.1435844253842375,True,231,2371.4101558829425,4,248.1107776806801
-1,epsilon,3969.7724428908814,0.0002675818286599029,True,231,2371.4101558829425,4,248.1107776806801
-1,k_leak,3969.7724428908814,0.9966994792678409,True,231,2371.4101558829425,4,248.1107776806801
-1,alph_leak,3969.7724428908814,0.5012172748956393,True,231,2371.4101558829425,4,248.1107776806801
-1,eps_leak,3969.7724428908814,0.00032823060853386473,True,231,2371.4101558829425,4,248.1107776806801
