outer_resampling_id,train_mse
0,1.2906978666153181e-05
1,1.2093883925687722e-05
2,1.0662838791505685e-05
3,1.035529630692099e-05
4,1.1834059858683572e-05
5,1.339906021156228e-05
6,1.2785125257122759e-05
7,1.310280430002837e-05
8,1.3079691651226507e-05
9,1.333687885315627e-05
10,1.3245677665947333e-05
11,1.161275079569357e-05
12,1.2288135156296011e-05
13,1.3259908099746092e-05
14,1.3382552328908143e-05
15,1.287583465488037e-05
16,1.3338481358664825e-05
17,1.3329806582966462e-05
18,1.337889168786699e-05
19,1.3383336448377942e-05
