,time_step,stimulus,type,familiarity,novelty,n_im
0,0,0,fam,0.043478260869565216,3.1354942159291497,3
1,1,1,fam,0.04054054054054054,3.20545280453606,3
2,2,2,fam,0.04051316677920324,3.206128252045698,3
3,3,0,fam,0.040519645377141277,3.2059683514380444,3
4,4,1,fam,0.04051964264119468,3.205968418959531,3
5,5,2,fam,0.04051964261383522,3.2059684196347455,3
6,6,0,fam,0.040519642620313774,3.205968419474859,3
7,7,1,fam,0.04051964262031104,3.2059684194749263,3
8,8,2,fam,0.040519642620311005,3.205968419474927,3
9,9,0,fam,0.04051964262031102,3.205968419474927,3
10,10,1,fam,0.04051964262031102,3.205968419474927,3
11,11,2,fam,0.04051964262031102,3.205968419474927,3
12,12,0,fam,0.04051964262031102,3.205968419474927,3
13,13,1,fam,0.04051964262031102,3.205968419474927,3
14,14,2,fam,0.04051964262031102,3.205968419474927,3
15,15,0,fam,0.04051964262031102,3.205968419474927,3
16,16,1,fam,0.04051964262031102,3.205968419474927,3
17,17,2,fam,0.04051964262031102,3.205968419474927,3
18,18,0,fam,0.04051964262031102,3.205968419474927,3
19,19,1,fam,0.04051964262031102,3.205968419474927,3
20,20,2,fam,0.04051964262031102,3.205968419474927,3
21,21,0,fam,0.04051964262031102,3.205968419474927,3
22,22,1,fam,0.04051964262031102,3.205968419474927,3
23,23,2,fam,0.04051964262031102,3.205968419474927,3
24,24,0,fam,0.04051964262031102,3.205968419474927,3
25,25,1,fam,0.04051964262031102,3.205968419474927,3
26,26,2,fam,0.04051964262031102,3.205968419474927,3
27,27,0,fam,0.04051964262031102,3.205968419474927,3
28,28,1,fam,0.04051964262031102,3.205968419474927,3
29,29,2,fam,0.04051964262031102,3.205968419474927,3
30,30,0,fam,0.04051964262031102,3.205968419474927,3
31,31,1,fam,0.04051964262031102,3.205968419474927,3
32,32,2,fam,0.04051964262031102,3.205968419474927,3
33,33,0,fam,0.04051964262031102,3.205968419474927,3
34,34,1,fam,0.04051964262031102,3.205968419474927,3
35,35,2,fam,0.04051964262031102,3.205968419474927,3
36,36,0,fam,0.04051964262031102,3.205968419474927,3
37,37,1,fam,0.04051964262031102,3.205968419474927,3
38,38,2,fam,0.04051964262031102,3.205968419474927,3
39,39,0,fam,0.04051964262031102,3.205968419474927,3
40,40,1,fam,0.04051964262031102,3.205968419474927,3
41,41,2,fam,0.04051964262031102,3.205968419474927,3
42,42,0,fam,0.04051964262031102,3.205968419474927,3
43,43,1,fam,0.04051964262031102,3.205968419474927,3
44,44,2,fam,0.04051964262031102,3.205968419474927,3
45,45,0,fam,0.04051964262031102,3.205968419474927,3
46,46,1,fam,0.04051964262031102,3.205968419474927,3
47,47,2,fam,0.04051964262031102,3.205968419474927,3
48,48,0,fam,0.04051964262031102,3.205968419474927,3
49,49,1,fam,0.04051964262031102,3.205968419474927,3
50,50,2,fam,0.04051964262031102,3.205968419474927,3
51,51,0,fam,0.04051964262031102,3.205968419474927,3
52,52,1,fam,0.04051964262031102,3.205968419474927,3
53,53,3,nov,0.040512890465148,3.206135072420887,3
54,54,0,fam,0.04051964262031102,3.205968419474927,3
55,55,1,fam,0.04051964262031102,3.205968419474927,3
56,56,2,fam,0.04051289047190016,3.20613507225422,3
57,57,0,fam,0.04051964262031102,3.205968419474927,3
58,58,1,fam,0.04051964262031102,3.205968419474927,3
59,59,2,fam,0.040519642613558865,3.205968419641566,3
0,0,0,fam,0.043478260869565216,3.1354942159291497,6
1,1,1,fam,0.04054054054054054,3.20545280453606,6
2,2,2,fam,0.04051316677920324,3.206128252045698,6
3,3,3,fam,0.0405128932282699,3.2061350042173653,6
4,4,4,fam,0.040512890492779216,3.206135071738852,6
5,5,5,fam,0.04051289046542431,3.2061350724140665,6
6,6,0,fam,0.040512890471902915,3.206135072254152,6
7,7,1,fam,0.04051289047190018,3.2061350722542197,6
8,8,2,fam,0.040512890471900154,3.20613507225422,6
9,9,3,fam,0.040512890471900154,3.20613507225422,6
10,10,4,fam,0.040512890471900154,3.20613507225422,6
11,11,5,fam,0.040512890471900154,3.20613507225422,6
12,12,0,fam,0.040512890471900154,3.20613507225422,6
13,13,1,fam,0.040512890471900154,3.20613507225422,6
14,14,2,fam,0.040512890471900154,3.20613507225422,6
15,15,3,fam,0.040512890471900154,3.20613507225422,6
16,16,4,fam,0.040512890471900154,3.20613507225422,6
17,17,5,fam,0.040512890471900154,3.20613507225422,6
18,18,0,fam,0.040512890471900154,3.20613507225422,6
19,19,1,fam,0.040512890471900154,3.20613507225422,6
20,20,2,fam,0.040512890471900154,3.20613507225422,6
21,21,3,fam,0.040512890471900154,3.20613507225422,6
22,22,4,fam,0.040512890471900154,3.20613507225422,6
23,23,5,fam,0.040512890471900154,3.20613507225422,6
24,24,0,fam,0.040512890471900154,3.20613507225422,6
25,25,1,fam,0.040512890471900154,3.20613507225422,6
26,26,2,fam,0.040512890471900154,3.20613507225422,6
27,27,3,fam,0.040512890471900154,3.20613507225422,6
28,28,4,fam,0.040512890471900154,3.20613507225422,6
29,29,5,fam,0.040512890471900154,3.20613507225422,6
30,30,0,fam,0.040512890471900154,3.20613507225422,6
31,31,1,fam,0.040512890471900154,3.20613507225422,6
32,32,2,fam,0.040512890471900154,3.20613507225422,6
33,33,3,fam,0.040512890471900154,3.20613507225422,6
34,34,4,fam,0.040512890471900154,3.20613507225422,6
35,35,5,fam,0.040512890471900154,3.20613507225422,6
36,36,0,fam,0.040512890471900154,3.20613507225422,6
37,37,1,fam,0.040512890471900154,3.20613507225422,6
38,38,2,fam,0.040512890471900154,3.20613507225422,6
39,39,3,fam,0.040512890471900154,3.20613507225422,6
40,40,4,fam,0.040512890471900154,3.20613507225422,6
41,41,5,fam,0.040512890471900154,3.20613507225422,6
42,42,0,fam,0.040512890471900154,3.20613507225422,6
43,43,1,fam,0.040512890471900154,3.20613507225422,6
44,44,2,fam,0.040512890471900154,3.20613507225422,6
45,45,3,fam,0.040512890471900154,3.20613507225422,6
46,46,4,fam,0.040512890471900154,3.20613507225422,6
47,47,5,fam,0.040512890471900154,3.20613507225422,6
48,48,0,fam,0.040512890471900154,3.20613507225422,6
49,49,1,fam,0.040512890471900154,3.20613507225422,6
50,50,2,fam,0.040512890471900154,3.20613507225422,6
51,51,3,fam,0.040512890471900154,3.20613507225422,6
52,52,4,fam,0.040512890471900154,3.20613507225422,6
53,53,5,fam,0.040512890471900154,3.20613507225422,6
54,54,0,fam,0.040512890471900154,3.20613507225422,6
55,55,1,fam,0.040512890471900154,3.20613507225422,6
56,56,2,fam,0.040512890471900154,3.20613507225422,6
57,57,3,fam,0.040512890471900154,3.20613507225422,6
58,58,4,fam,0.040512890471900154,3.20613507225422,6
59,59,5,fam,0.040512890471900154,3.20613507225422,6
60,60,0,fam,0.040512890471900154,3.20613507225422,6
61,61,1,fam,0.040512890471900154,3.20613507225422,6
62,62,2,fam,0.040512890471900154,3.20613507225422,6
63,63,3,fam,0.040512890471900154,3.20613507225422,6
64,64,4,fam,0.040512890471900154,3.20613507225422,6
65,65,5,fam,0.040512890471900154,3.20613507225422,6
66,66,0,fam,0.040512890471900154,3.20613507225422,6
67,67,1,fam,0.040512890471900154,3.20613507225422,6
68,68,2,fam,0.040512890471900154,3.20613507225422,6
69,69,3,fam,0.040512890471900154,3.20613507225422,6
70,70,4,fam,0.040512890471900154,3.20613507225422,6
71,71,5,fam,0.040512890471900154,3.20613507225422,6
72,72,0,fam,0.040512890471900154,3.20613507225422,6
73,73,1,fam,0.040512890471900154,3.20613507225422,6
74,74,2,fam,0.040512890471900154,3.20613507225422,6
75,75,3,fam,0.040512890471900154,3.20613507225422,6
76,76,4,fam,0.040512890471900154,3.20613507225422,6
77,77,5,fam,0.040512890471900154,3.20613507225422,6
78,78,0,fam,0.040512890471900154,3.20613507225422,6
