outer_resampling_id,train_mse
0,5.960265902132925e-06
1,5.491022299040382e-06
2,5.022555452859111e-06
3,5.622089885983947e-06
4,6.347713100785494e-06
5,6.356194582798599e-06
6,4.998993574006128e-06
7,6.0864117659704805e-06
8,6.177314023162753e-06
9,6.341948979539445e-06
10,6.229697586749325e-06
11,5.475030611939623e-06
12,6.252195299980604e-06
13,6.354197124547616e-06
14,6.3097511103763546e-06
15,6.1271487439374915e-06
16,6.26992545215614e-06
17,6.3001186425852325e-06
18,6.341842692454598e-06
19,6.324806096884876e-06
