,n_fam,nt_norm,steady
0,1,0.24763783089038727,2.540815057039834
1,3,0.4792028710565477,2.3695520319946826
2,8,0.9330964698473281,2.066413471006424
3,18,1.5839204817938446,1.717099534664951
4,38,2.508505408973348,1.3955347586955351
