outer_resampling_id,train_mse
0,8.021908435151978e-06
1,7.4585640520875575e-06
2,6.675321430533766e-06
3,6.931258783828045e-06
4,8.114434385701116e-06
5,8.44527373669068e-06
6,7.678748200933525e-06
7,8.226703035120471e-06
8,8.235428942861045e-06
9,8.419203345342467e-06
10,8.266829726682033e-06
11,6.866593443538939e-06
12,8.083990752670435e-06
13,8.435189030816375e-06
14,8.394205133888208e-06
15,8.013375670070185e-06
16,8.21783530508947e-06
17,8.406196885682517e-06
18,8.4395609485573e-06
19,8.327614463345789e-06
