resampling_id,shift,coef
0,0.04751189550806796,0.011522944187988866
1,0.04765189982072819,0.01145971151156676
2,0.04799419673166884,0.01130511377526472
3,0.048318752794933244,0.011158528658425985
4,0.04810615265489606,0.01125454909955973
5,0.04744022700129574,0.01155531313014695
6,0.04769755488475883,0.011439091490397226
7,0.04781543120049252,0.01138585288089307
8,0.04799634452649668,0.011304143727894117
9,0.04767553430744405,0.011449037041455737
10,0.046613938009182114,0.011928504951717924
11,0.04386609109539723,0.01316956468377419
12,0.047820956633347136,0.011383357329855038
13,0.04751320590915917,0.011522352347876165
14,0.04724476956723975,0.011643591101354529
15,0.046757399802457376,0.011863710710878186
16,0.0447802166242728,0.011597661299025907
17,0.048487959353408924,0.011550138347025417
18,0.04713766816755341,0.011553466136091341
19,0.04921165056567771,0.011583933145116283
