resampling_id,coef,shift
0,0.030846842449948255,0.0222186169224113
1,0.030917088999717176,0.022181612433118822
2,0.031293258778691393,0.021983453653734056
3,0.031250214605255414,0.02200612847065039
4,0.03005620329671943,0.022635109948418993
5,0.03070276536899398,0.02229451387132906
6,0.03098713886868998,0.022144711551369187
7,0.030739042031333836,0.022275404045045244
8,0.030979917887932473,0.02214851542082613
9,0.031092640637668346,0.022089135311776805
10,0.030901485366338084,0.022189832117732507
11,0.03079320312589665,0.022246873054549483
12,0.029833094684736695,0.02275263914053348
13,0.031169261785833093,0.022048772810470112
14,0.031310203061677075,0.021974527741495317
15,0.031111611019471182,0.022079142090862668
16,0.026658617800376816,0.022447404459413532
17,0.032267438682001964,0.022098149595402475
18,0.0312630835633531,0.022117828059755772
19,0.033084291741823924,0.022256792931567484
