outer_resampling_id,train_mse
0,4.235442331295614e-06
1,4.220213925933035e-06
2,3.9888217467720415e-06
3,4.096309251118274e-06
4,4.011846757227985e-06
5,4.182458197279397e-06
6,3.853292171965743e-06
7,4.179237374985008e-06
8,4.118416824468264e-06
9,4.073090249613552e-06
10,4.157055683957328e-06
11,4.174467495479262e-06
12,3.4611029993664194e-06
13,4.346043333432004e-06
14,4.321436021259947e-06
15,4.325172158359968e-06
16,1.9778228988734987e-06
17,4.702834247042261e-06
18,5.009636552713996e-06
19,3.868196768787658e-06
