outer_resampling_id,train_mse
0,1.0108024003916286e-06
1,1.0100536812147716e-06
2,9.732639666525608e-07
3,9.963054871716398e-07
4,9.520305285048093e-07
5,1.0158531973114934e-06
6,9.059202272055076e-07
7,1.0156691155907544e-06
8,9.97584070738109e-07
9,9.83615003907557e-07
10,1.0103015100370677e-06
11,1.0153146587461402e-06
12,8.242083775500597e-07
13,1.0120400319937444e-06
14,1.0154860101441573e-06
15,1.0055857414145786e-06
16,5.2338394177573e-07
17,9.627107302379242e-07
18,1.0086121917544017e-06
19,8.239663877483248e-07
