Unnamed: 0,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model,jack_mse_mean,jack_mse_std,jack_mse_se
0,1.0411676408160642e-05,0,,,0.001,13,13,1.1444533680182072e-05,7.975988201651913e-07,7.975988201651913e-07
0,9.95072845553402e-06,1,,,0.001,13,15,1.0939483094431349e-05,7.711274049089226e-07,7.711274049089226e-07
0,8.501197335569626e-06,2,,,0.001,13,23,9.351550545777785e-06,6.817904712927438e-07,6.817904712927438e-07
0,5.454748298332208e-06,3,,,0.001,13,63,6.019461146394555e-06,4.34264684265798e-07,4.34264684265798e-07
0,6.989333983736468e-06,4,,,0.001,13,513,7.711339771656138e-06,4.4878911390516804e-07,4.4878911390516804e-07
0,1.2319607440783729e-05,5,,,0.001,13,5013,1.3629194370306777e-05,8.822628391418921e-07,8.822628391418921e-07
0,7.667650512251707e-06,6,,,0.01,13,13,8.433234849467444e-06,5.88789916334731e-07,5.88789916334731e-07
0,7.257150237566494e-06,7,,,0.01,13,15,7.982911785429594e-06,5.47846475917993e-07,5.47846475917993e-07
0,6.230834522797381e-06,8,,,0.01,13,23,6.858285824592233e-06,4.3540393624796443e-07,4.3540393624796443e-07
0,5.096751070484528e-06,9,,,0.01,13,63,5.6164771967002805e-06,3.348862126615483e-07,3.348862126615483e-07
0,6.734696864365428e-06,10,,,0.01,13,513,7.420330275299962e-06,5.12818395826461e-07,5.12818395826461e-07
0,9.862840300965728e-06,11,,,0.01,13,5013,1.088843158080561e-05,6.778112439826914e-07,6.778112439826914e-07
0,1.1087048600643596e-05,12,,,0.1,13,13,1.2223031395165449e-05,8.645762414645672e-07,8.645762414645672e-07
0,1.09793674054208e-05,13,,,0.1,13,15,1.2103443230591658e-05,8.550972919911679e-07,8.550972919911679e-07
0,1.0662537603073102e-05,14,,,0.1,13,23,1.1751695872064564e-05,8.272393709748844e-07,8.272393709748844e-07
0,9.951325680506469e-06,15,,,0.1,13,63,1.0962802483577906e-05,7.645508109005417e-07,7.645508109005417e-07
0,8.668980516252937e-06,16,,,0.1,13,513,9.543252759655762e-06,6.493981777750863e-07,6.493981777750863e-07
0,7.593114280652698e-06,17,,,0.1,13,5013,8.355520503157042e-06,5.514163282095173e-07,5.514163282095173e-07
0,1.1666083330932174e-05,18,,,0.2,13,13,1.2868905176657358e-05,9.145736598038386e-07,9.145736598038386e-07
0,1.1611161974772758e-05,19,,,0.2,13,15,1.2807835826151968e-05,9.098437486134291e-07,9.098437486134291e-07
0,1.144838868241484e-05,20,,,0.2,13,23,1.26268704250432e-05,8.958319185681019e-07,8.958319185681019e-07
0,1.1073501198958864e-05,21,,,0.2,13,63,1.2210261364493599e-05,8.635047570992676e-07,8.635047570992676e-07
0,1.0339387490193582e-05,22,,,0.2,13,513,1.1395240031192988e-05,7.994944296943178e-07,7.994944296943178e-07
0,9.616481711823012e-06,23,,,0.2,13,5013,1.0593788422143185e-05,7.351790270298082e-07,7.351790270298082e-07
0,1.188086679674842e-05,24,,,0.3,13,13,1.3108505462523754e-05,9.32814715893611e-07,9.32814715893611e-07
0,1.1845630399707991e-05,25,,,0.3,13,15,1.3069309183413162e-05,9.298040775348998e-07,9.298040775348998e-07
