Unnamed: 0,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model,coef,shift,train_rss,train_mse,train_nmse
0,1.0411676408160642e-05,0,,,0.001,13,13,0.05958149875448612,-0.07557595593250824,0.00020823352816321284,1.0411676408160642e-05,0.023775821218537614
0,9.95072845553402e-06,1,,,0.001,13,15,0.05556311016321348,-0.07207622403242041,0.00019901456911068042,9.95072845553402e-06,0.022723213004157118
0,8.501197335569626e-06,2,,,0.001,13,23,0.045979275040767806,-0.062257245529119015,0.00017002394671139254,8.501197335569626e-06,0.019413103142121125
0,5.454748298332208e-06,3,,,0.001,13,63,0.031806898248411715,-0.040569674293759454,0.00010909496596664418,5.454748298332209e-06,0.012456314934223018
0,6.989333983736468e-06,4,,,0.001,13,513,0.015391605905009594,0.009058017786581,0.00013978667967472935,6.9893339837364675e-06,0.015960653089805824
0,1.2319607440783729e-05,5,,,0.001,13,5013,0.00781320715764418,0.039729701790757584,0.00024639214881567453,1.2319607440783727e-05,0.028132720660148307
0,7.667650512251707e-06,6,,,0.01,13,13,0.011714815025138582,0.047441844417042946,0.00015335301024503416,7.667650512251707e-06,0.017509638275219067
0,7.257150237566494e-06,7,,,0.01,13,15,0.0115552542472773,0.047440357374643166,0.0001451430047513299,7.257150237566494e-06,0.016572231006834665
0,6.230834522797381e-06,8,,,0.01,13,23,0.01104212677082245,0.047777788137379484,0.00012461669045594765,6.230834522797383e-06,0.01422856433957249
0,5.096751070484528e-06,9,,,0.01,13,63,0.00964697776491174,0.05005873396512305,0.00010193502140969057,5.096751070484528e-06,0.011638802196373511
0,6.734696864365428e-06,10,,,0.01,13,513,0.00679807288161317,0.0564909736655399,0.00013469393728730855,6.7346968643654275e-06,0.015379170685970837
0,9.862840300965728e-06,11,,,0.01,13,5013,0.004741983011346939,0.06146002535944062,0.00019725680601931456,9.862840300965728e-06,0.022522514003503864
0,1.1087048600643596e-05,12,,,0.1,13,13,0.0012382012708475735,0.07021661516569645,0.0002217409720128719,1.1087048600643596e-05,0.025318082798225266
0,1.09793674054208e-05,13,,,0.1,13,15,0.0012384679324956328,0.07021590418290907,0.00021958734810841602,1.09793674054208e-05,0.025072184947980043
0,1.0662537603073102e-05,14,,,0.1,13,23,0.0012389544965711763,0.07021456028768652,0.00021325075206146208,1.0662537603073104e-05,0.02434868102392232
0,9.951325680506469e-06,15,,,0.1,13,63,0.0012381682419166976,0.07021605769193823,0.00019902651361012935,9.951325680506467e-06,0.022724576810869458
0,8.668980516252937e-06,16,,,0.1,13,513,0.0012278339704587943,0.07023935907130482,0.0001733796103250587,8.668980516252935e-06,0.019796248252573968
0,7.593114280652698e-06,17,,,0.1,13,5013,0.0012050001943604144,0.07029114539244152,0.00015186228561305396,7.5931142806526985e-06,0.017339429362904762
0,1.1666083330932174e-05,18,,,0.2,13,13,0.0005814436882031417,0.07142562459744181,0.0002333216666186435,1.1666083330932174e-05,0.026640350768047574
0,1.1611161974772758e-05,19,,,0.2,13,15,0.0005815795106559175,0.07142525061113687,0.00023222323949545514,1.1611161974772758e-05,0.026514933852083644
0,1.144838868241484e-05,20,,,0.2,13,23,0.0005819479251703769,0.07142423635476014,0.00022896777364829683,1.1448388682414841e-05,0.026143229186423728
0,1.1073501198958864e-05,21,,,0.2,13,63,0.0005825857923912259,0.07142248074968158,0.00022147002397917726,1.1073501198958864e-05,0.02528714632000554
0,1.0339387490193582e-05,22,,,0.2,13,513,0.0005828525527620122,0.07142174645482352,0.00020678774980387163,1.0339387490193582e-05,0.02361074421054309
0,9.616481711823012e-06,23,,,0.2,13,5013,0.0005815809912817209,0.07142524407641518,0.00019232963423646026,9.616481711823012e-06,0.021959936226257793
0,1.188086679674842e-05,24,,,0.3,13,13,0.00036299471324224885,0.07180088425987079,0.0002376173359349684,1.188086679674842e-05,0.027130824451991723
0,1.1845630399707991e-05,25,,,0.3,13,15,0.0003630590118436043,0.07180066742650873,0.0002369126079941598,1.184563039970799e-05,0.027050359573563304
0,1.1740948331932725e-05,26,,,0.3,13,23,0.00036324127804970114,0.07180005277316606,0.00023481896663865446,1.1740948331932723e-05,0.026811310449230092
0,1.1497888574224215e-05,27,,,0.3,13,63,0.0003636112646487646,0.07179880507568107,0.00022995777148448435,1.1497888574224217e-05,0.026256265793772975
0,1.1010413586150351e-05,28,,,0.3,13,513,0.0003641085343373217,0.07179712814699526,0.00022020827172300705,1.1010413586150353e-05,0.02514308116234622
0,1.0509984939715649e-05,29,,,0.3,13,5013,0.00036423965425262216,0.07179668597519057,0.00021019969879431294,1.0509984939715647e-05,0.024000315908814077
0,1.1994584926667402e-05,30,,,0.4,13,13,0.00025319046687410235,0.07197152539419509,0.00023989169853334802,1.1994584926667402e-05,0.027390508082203373
0,1.1969673960209632e-05,31,,,0.4,13,15,0.0002532247077591372,0.07197138292475816,0.00023939347920419265,1.1969673960209632e-05,0.027333622076370852
0,1.1895567450567136e-05,32,,,0.4,13,23,0.0002533234994881875,0.07197097187223911,0.00023791134901134274,1.1895567450567136e-05,0.02716439446543504
0,1.1722772060042424e-05,33,,,0.4,13,63,0.0002535353881810198,0.07197009024600179,0.00023445544120084848,1.1722772060042424e-05,0.02676980360883842
0,1.1372215830003538e-05,34,,,0.4,13,513,0.0002538811180607031,0.07196865173351025,0.00022744431660007077,1.1372215830003538e-05,0.02596928293131176
0,1.1005489256283945e-05,35,,,0.4,13,5013,0.0002541130165626338,0.07196768685048743,0.0002201097851256789,1.1005489256283945e-05,0.025131836096524442
0,1.2066877379247955e-05,36,,,0.5,13,13,0.00018648125837110943,0.07206261980802639,0.00024133754758495914,1.2066877379247957e-05,0.027555593161745193
0,1.2048380450964503e-05,37,,,0.5,13,15,0.00018650085995879946,0.07206251864944309,0.0002409676090192901,1.2048380450964505e-05,0.02751335407913072
0,1.199330385592976e-05,38,,,0.5,13,23,0.00018655797340801924,0.07206222390211788,0.0002398660771185952,1.199330385592976e-05,0.027387582663891047
0,1.1864533542754952e-05,39,,,0.5,13,63,0.00018668402396079578,0.07206157338873037,0.00023729067085509907,1.1864533542754953e-05,0.027093526277169343
0,1.1601495367310796e-05,40,,,0.5,13,513,0.00018690762482401503,0.0720604194441268,0.0002320299073462159,1.1601495367310795e-05,0.026492859450056964
0,1.1323333676017004e-05,41,,,0.5,13,5013,0.00018709197966854414,0.07205946803779183,0.0002264666735203401,1.1323333676017004e-05,0.025857656973262397
0,1.2118840859006084e-05,42,,,0.6,13,13,0.00014101315020248516,0.07211559426625433,0.00024237681718012165,1.2118840859006083e-05,0.027674255551564948
0,1.210477569938348e-05,43,,,0.6,13,15,0.00014102478192774072,0.07211551925227377,0.00024209551398766968,1.2104775699383485e-05,0.02764213673539285
0,1.2062865974370795e-05,44,,,0.6,13,23,0.00014105889210988374,0.07211529927282379,0.00024125731948741592,1.2062865974370795e-05,0.027546432826612243
0,1.1964691156503374e-05,45,,,0.6,13,63,0.00014113553229846596,0.07211480501376513,0.00023929382313006754,1.1964691156503377e-05,0.027322243481277934
0,1.1763218048404444e-05,46,,,0.6,13,513,0.00014127808766675943,0.07211388566213678,0.00023526436096808897,1.1763218048404449e-05,0.026862164968393238
0,1.1548646541020912e-05,47,,,0.6,13,5013,0.00014140731134258997,0.07211305228772066,0.00023097293082041824,1.1548646541020912e-05,0.026372175306964223
0,1.2160051409317669e-05,48,,,0.7,13,13,0.00010728877272398234,0.0721478640715423,0.0002432010281863534,1.2160051409317669e-05,0.02776836284400422
0,1.2149304334433172e-05,49,,,0.7,13,15,0.00010729570048842397,0.07214780743382543,0.00024298608668866343,1.2149304334433172e-05,0.027743821115942466
0,1.2117263600792637e-05,50,,,0.7,13,23,0.00010731611097909035,0.07214764056851262,0.00024234527201585273,1.2117263600792637e-05,0.027670653767584322
0,1.2042095994831691e-05,51,,,0.7,13,63,0.00010736254862204868,0.0721472609190482,0.00024084191989663382,1.2042095994831691e-05,0.027499003065940143
0,1.1887308983462527e-05,52,,,0.7,13,513,0.00010745166714399315,0.07214653233342323,0.00023774617966925056,1.1887308983462527e-05,0.02714553565445005
0,1.1721615154124444e-05,53,,,0.7,13,5013,0.00010753708920724036,0.07214583396807878,0.00023443230308248892,1.1721615154124445e-05,0.02676716172993302
0,,54,,,0.8,13,13,,,,,
0,,55,,,0.8,13,15,,,,,
0,,56,,,0.8,13,23,,,,,
0,,57,,,0.8,13,63,,,,,
0,,58,,,0.8,13,513,,,,,
0,,59,,,0.8,13,5013,,,,,
0,,60,,,0.9,13,13,,,,,
0,,61,,,0.9,13,15,,,,,
0,,62,,,0.9,13,23,,,,,
0,,63,,,0.9,13,63,,,,,
0,,64,,,0.9,13,513,,,,,
0,,65,,,0.9,13,5013,,,,,
0,,66,,,0.99,13,13,,,,,
0,,67,,,0.99,13,15,,,,,
0,,68,,,0.99,13,23,,,,,
0,,69,,,0.99,13,63,,,,,
0,,70,,,0.99,13,513,,,,,
0,,71,,,0.99,13,5013,,,,,
0,,72,,,0.999,13,13,,,,,
0,,73,,,0.999,13,15,,,,,
0,,74,,,0.999,13,23,,,,,
0,,75,,,0.999,13,63,,,,,
0,,76,,,0.999,13,513,,,,,
0,,77,,,0.999,13,5013,,,,,
