outer_resampling_id,train_mse,test_mse
0,5.69218994041076e-06,0.00016065877472593745
1,5.382936724042972e-06,0.00015821754200992714
2,4.95166423638992e-06,0.00014169740773420662
3,5.3299634065112295e-06,0.0001504885378820286
4,5.9009436257061585e-06,0.000168088759802223
5,5.916273973769346e-06,0.0001641682764408984
6,4.915852021289981e-06,0.00014687687845103204
7,5.584337435709674e-06,0.00013726369392342297
8,5.500912552184274e-06,0.00011542873121972113
9,5.746035594134544e-06,0.00012082433432318984
10,5.876524916164475e-06,0.0001731170958507309
11,5.352289696636651e-06,0.0001612017804378846
12,5.884014485519379e-06,0.000163828825175969
13,5.7754295409737345e-06,0.00013377586717108577
14,5.430802764965597e-06,0.00011671663454468263
15,4.638233238631764e-06,0.00010024216293858983
16,5.7731180185420475e-06,0.0001397788073034145
17,5.866642836119757e-06,0.00016404551745085328
18,5.905888354791502e-06,0.00016566700646381336
19,5.853813925305716e-06,0.0001631526475642957
