Unnamed: 0,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model,jack_mse_mean,jack_mse_std,jack_mse_se
0,1.0411676408160642e-05,0,,,0.001,13,13,1.0904402476479212e-05,7.600999935932116e-07,7.600999935932116e-07
0,9.95072845553402e-06,1,,,0.001,13,15,1.0422329745367307e-05,7.347640324199421e-07,7.347640324199421e-07
0,8.501197335569626e-06,2,,,0.001,13,23,8.906509030693831e-06,6.494305641675076e-07,6.494305641675076e-07
0,5.454748298332208e-06,3,,,0.001,13,63,5.723277823828058e-06,4.129176403956664e-07,4.129176403956664e-07
0,6.989333983736468e-06,4,,,0.001,13,513,7.332747702291321e-06,4.2600818513211053e-07,4.2600818513211053e-07
0,1.2319607440783729e-05,5,,,0.001,13,5013,1.294151779116376e-05,8.37809672062358e-07,8.37809672062358e-07
0,7.667650512251707e-06,6,,,0.01,13,13,8.032444928631726e-06,5.616387575257757e-07,5.616387575257757e-07
0,7.257150237566494e-06,7,,,0.01,13,15,7.6029228918434905e-06,5.225352152289319e-07,5.225352152289319e-07
0,6.230834522797381e-06,8,,,0.01,13,23,6.529642696178745e-06,4.148691533471976e-07,4.148691533471976e-07
0,5.096751070484528e-06,9,,,0.01,13,63,5.344130764421921e-06,3.1810262877934625e-07,3.1810262877934625e-07
0,6.734696864365428e-06,10,,,0.01,13,513,7.061047079204528e-06,4.87747395543976e-07,4.87747395543976e-07
0,9.862840300965728e-06,11,,,0.01,13,5013,1.035044533067822e-05,6.441570336367231e-07,6.441570336367231e-07
0,1.1087048600643596e-05,12,,,0.1,13,13,1.1627619410586782e-05,8.231286579340989e-07,8.231286579340989e-07
0,1.09793674054208e-05,13,,,0.1,13,15,1.1514295277049145e-05,8.14150202123336e-07,8.14150202123336e-07
0,1.0662537603073102e-05,14,,,0.1,13,23,1.1180914313349867e-05,7.8774650504444e-07,7.8774650504444e-07
0,9.951325680506469e-06,15,,,0.1,13,63,1.0432862714961235e-05,7.282294933517955e-07,7.282294933517955e-07
0,8.668980516252937e-06,16,,,0.1,13,513,9.085379330457094e-06,6.184799820932902e-07,6.184799820932902e-07
0,7.593114280652698e-06,17,,,0.1,13,5013,7.95632928468543e-06,5.246088038602732e-07,5.246088038602732e-07
0,1.1666083330932174e-05,18,,,0.2,13,13,1.2238253682986542e-05,8.702703515202737e-07,8.702703515202737e-07
0,1.1611161974772758e-05,19,,,0.2,13,15,1.2180421055173263e-05,8.657966251516669e-07,8.657966251516669e-07
0,1.144838868241484e-05,20,,,0.2,13,23,1.200903239838103e-05,8.525397817118239e-07,8.525397817118239e-07
0,1.1073501198958864e-05,21,,,0.2,13,63,1.1614381584146292e-05,8.219306959604071e-07,8.219306959604071e-07
0,1.0339387490193582e-05,22,,,0.2,13,513,1.0841920762636902e-05,7.612150077232766e-07,7.612150077232766e-07
0,9.616481711823012e-06,23,,,0.2,13,5013,1.0081758001113891e-05,7.000519571721661e-07,7.000519571721661e-07
0,1.188086679674842e-05,24,,,0.3,13,13,1.2464767684387388e-05,8.874665849696061e-07,8.874665849696061e-07
0,1.1845630399707991e-05,25,,,0.3,13,15,1.2427656649023562e-05,8.84620473841613e-07,8.84620473841613e-07
0,1.1740948331932725e-05,26,,,0.3,13,23,1.2317410607260467e-05,8.761615037141294e-07,8.761615037141294e-07
0,1.1497888574224215e-05,27,,,0.3,13,63,1.2061464001671336e-05,8.564724550512012e-07,8.564724550512012e-07
0,1.1010413586150351e-05,28,,,0.3,13,513,1.154828851154226e-05,8.166411162951446e-07,8.166411162951446e-07
0,1.0509984939715649e-05,29,,,0.3,13,5013,1.102169266036306e-05,7.751508626186145e-07,7.751508626186145e-07
0,1.1994584926667402e-05,30,,,0.4,13,13,1.2584672582406463e-05,8.965369358116124e-07,8.965369358116124e-07
0,1.1969673960209632e-05,31,,,0.4,13,15,1.2558433920834538e-05,8.945331770800051e-07,8.945331770800051e-07
0,1.1895567450567136e-05,32,,,0.4,13,23,1.2480380368362843e-05,8.885684835718792e-07,8.885684835718792e-07
0,1.1722772060042424e-05,33,,,0.4,13,63,1.2298397545278142e-05,8.746292141756547e-07,8.746292141756547e-07
0,1.1372215830003538e-05,34,,,0.4,13,513,1.1929274529124331e-05,8.461689698638191e-07,8.461689698638191e-07
0,1.1005489256283945e-05,35,,,0.4,13,5013,1.1543233732217606e-05,8.160926447482172e-07,8.160926447482172e-07
0,1.2066877379247955e-05,36,,,0.5,13,13,1.266087862714013e-05,9.023123483165341e-07,9.023123483165341e-07
0,1.2048380450964503e-05,37,,,0.5,13,15,1.2641394776353722e-05,9.008281287206676e-07,9.008281287206676e-07
0,1.199330385592976e-05,38,,,0.5,13,23,1.2583380984119013e-05,8.964057863259898e-07,8.964057863259898e-07
0,1.1864533542754952e-05,39,,,0.5,13,63,1.2447752215391725e-05,8.860461099163059e-07,8.860461099163059e-07
0,1.1601495367310796e-05,40,,,0.5,13,513,1.2170743889339595e-05,8.647808560100032e-07,8.647808560100032e-07
0,1.1323333676017004e-05,41,,,0.5,13,5013,1.1877869000830894e-05,8.421254938115935e-07,8.421254938115935e-07
0,1.2118840859006084e-05,42,,,0.6,13,13,1.2715642062194011e-05,9.064704980482991e-07,9.064704980482991e-07
0,1.210477569938348e-05,43,,,0.6,13,15,1.270082586806068e-05,9.053437043390022e-07,9.053437043390022e-07
0,1.2062865974370795e-05,44,,,0.6,13,23,1.2656679149812623e-05,9.019842085195043e-07,9.019842085195043e-07
0,1.1964691156503374e-05,45,,,0.6,13,63,1.2553269171495555e-05,8.941017368205531e-07,8.941017368205531e-07
0,1.1763218048404444e-05,46,,,0.6,13,513,1.2341075323425244e-05,8.778641559591899e-07,8.778641559591899e-07
0,1.1548646541020912e-05,47,,,0.6,13,5013,1.2115120842884847e-05,8.604742812147124e-07,8.604742812147124e-07
0,1.2160051409317669e-05,48,,,0.7,13,13,1.2759065008417011e-05,9.097691146977527e-07,9.097691146977527e-07
