outer_resampling_id,train_mse
0,8.370278421902724e-07
1,8.369030655321466e-07
2,7.682001067377463e-07
3,7.986769348830059e-07
4,8.164819097548967e-07
5,8.42225059467338e-07
6,8.082747742232493e-07
7,8.172706152488005e-07
8,8.322294622132681e-07
9,8.188225004821166e-07
10,8.374925916679136e-07
11,8.398870189453607e-07
12,7.598973736173442e-07
13,8.330705126188001e-07
14,8.246189215691417e-07
15,8.286768760401535e-07
16,4.040811933015549e-07
17,7.942713319235664e-07
18,8.367162832539746e-07
19,6.61145907982374e-07
